Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jesper Froden,20222023,SEA,R,R,14,0,4,4,4,6,0.29,0,4,0,0,0,0,0,0,10,0,10:00,--
Max Pacioretty,20222023,CAR,L,L,5,3,0,3,0,2,0.6,2,2,1,1,0,0,0,0,16,18.8,13:39,--
Dryden Hunt,20222023,"NYR,COL,TOR",L,L,37,3,0,3,-10,24,0.08,3,3,0,0,0,0,0,0,23,13,8:04,33.3
Kieffer Bellows,20222023,"NYI,PHI",L,L,28,3,0,3,-8,6,0.11,3,3,0,0,0,0,0,1,32,9.4,9:41,16.7
Jordan Gross,20222023,NSH,R,D,15,3,0,3,-3,2,0.2,2,2,1,1,0,0,0,0,24,12.5,18:47,--
Zach Sanford,20222023,NSH,L,L,16,2,1,3,-3,4,0.19,2,3,0,0,0,0,0,1,20,10,13:29,15.4
Michael Carcone,20222023,ARI,L,L,9,2,1,3,3,2,0.33,2,3,0,0,0,0,0,0,15,13.3,12:39,--
Justin Danforth,20222023,CBJ,R,R,6,2,1,3,-3,4,0.5,2,3,0,0,0,0,0,0,10,20,13:23,30.8
Josh Norris,20222023,OTT,L,C,8,2,1,3,-1,6,0.38,2,3,0,0,0,0,0,0,15,13.3,17:59,57.9
Samuel Fagemo,20222023,LAK,R,L,9,2,1,3,-4,0,0.33,2,3,0,0,0,0,0,0,5,40,7:51,0
Samuel Bolduc,20222023,NYI,L,D,17,2,1,3,5,2,0.18,2,3,0,0,0,0,0,1,20,10,14:24,--
William Eklund,20222023,SJS,L,L,8,2,1,3,-5,6,0.38,2,2,0,1,0,0,0,0,18,11.1,19:50,33.3
Aatu Raty,20222023,"NYI,VAN",L,C,15,2,1,3,0,4,0.2,2,3,0,0,0,0,0,0,16,12.5,8:23,54.2
Patric Hornqvist,20222023,FLA,R,R,22,1,2,3,-4,13,0.14,1,2,0,1,0,0,0,1,40,2.5,9:16,16.7
Andrew Agozzino,20222023,SJS,L,L,4,1,2,3,-1,0,0.75,0,2,0,0,1,1,0,0,9,11.1,16:22,100
Buddy Robinson,20222023,CHI,R,R,9,1,2,3,1,4,0.33,1,3,0,0,0,0,0,0,13,7.7,11:46,20
Nic Petan,20222023,MIN,L,C,10,1,2,3,0,2,0.3,1,3,0,0,0,0,0,0,10,10,11:36,33.3
Ryan Carpenter,20222023,NYR,R,C,22,1,2,3,-5,10,0.14,1,3,0,0,0,0,0,0,17,5.9,9:11,54
Mark Friedman,20222023,PIT,R,D,23,1,2,3,2,15,0.13,1,3,0,0,0,0,0,0,36,2.8,14:27,--
Darren Raddysh,20222023,TBL,R,D,17,1,2,3,-4,4,0.18,1,3,0,0,0,0,0,0,25,4,16:29,--
Guillaume Brisebois,20222023,VAN,L,D,17,1,2,3,-2,6,0.18,1,3,0,0,0,0,0,0,15,6.7,16:32,--
Philippe Myers,20222023,TBL,R,D,11,1,2,3,0,4,0.27,1,3,0,0,0,0,0,0,21,4.8,11:33,--
Logan Stanley,20222023,WPG,L,D,19,1,2,3,-1,21,0.16,1,3,0,0,0,0,0,0,11,9.1,13:43,--
Aleksi Heponiemi,20222023,FLA,L,C,10,1,2,3,-1,2,0.3,1,3,0,0,0,0,0,0,6,16.7,8:35,100
Radim Simek,20222023,SJS,L,D,44,1,2,3,-13,29,0.07,1,3,0,0,0,0,0,0,39,2.6,14:37,--
Lawrence Pilut,20222023,BUF,L,D,17,1,2,3,-4,0,0.18,1,3,0,0,0,0,0,1,14,7.1,12:48,--
Tim Berni,20222023,CBJ,L,D,59,1,2,3,-26,34,0.05,1,3,0,0,0,0,0,0,58,1.7,16:58,--
Filip Roos,20222023,CHI,L,D,17,1,2,3,-5,4,0.18,1,3,0,0,0,0,0,0,19,5.3,16:13,--
Pavol Regenda,20222023,ANA,L,L,14,1,2,3,-3,4,0.21,1,3,0,0,0,0,0,0,17,5.9,10:33,50
Ryan Murray,20222023,EDM,L,D,13,0,3,3,-4,4,0.23,0,3,0,0,0,0,0,0,8,0,13:07,--
Andreas Johnsson,20222023,"NJD,SJS",L,L,13,0,3,3,-6,6,0.23,0,3,0,0,0,0,0,0,18,0,13:28,46.2
Christian Wolanin,20222023,VAN,L,D,16,0,3,3,5,4,0.19,0,2,0,1,0,0,0,0,16,0,15:45,--
Casey Fitzgerald,20222023,"BUF,FLA",R,D,27,0,3,3,-2,4,0.11,0,3,0,0,0,0,0,0,13,0,11:55,--
Dylan Coghlan,20222023,CAR,R,D,17,0,3,3,-1,2,0.18,0,3,0,0,0,0,0,0,29,0,12:43,--
Grigori Denisenko,20222023,FLA,R,L,18,0,3,3,-5,4,0.17,0,3,0,0,0,0,0,0,16,0,9:53,--
Michael Kesselring,20222023,ARI,R,D,9,0,3,3,-1,6,0.33,0,3,0,0,0,0,0,0,8,0,17:06,--
Wyatt Kaiser,20222023,CHI,L,D,9,0,3,3,-4,4,0.33,0,3,0,0,0,0,0,0,14,0,18:36,--
Akito Hirose,20222023,VAN,L,D,7,0,3,3,-1,4,0.43,0,1,0,2,0,0,0,0,4,0,17:28,--
Zack Kassian,20222023,ARI,R,R,51,2,0,2,-18,50,0.04,2,2,0,0,0,0,0,0,25,8,9:09,37.5
John Hayden,20222023,SEA,R,C,7,2,0,2,2,7,0.29,2,2,0,0,0,0,0,0,9,22.2,7:55,0
Kyle Capobianco,20222023,WPG,L,D,14,2,0,2,1,6,0.14,2,2,0,0,0,0,0,1,14,14.3,12:20,--
Simon Edvinsson,20222023,DET,L,D,9,2,0,2,-7,12,0.22,2,2,0,0,0,0,0,0,5,40,17:04,--
Marco Scandella,20222023,STL,L,D,20,1,1,2,2,6,0.1,1,2,0,0,0,0,0,0,17,5.9,17:50,--
Jordie Benn,20222023,TOR,L,D,12,1,1,2,-1,12,0.17,1,2,0,0,0,0,0,1,13,7.7,15:48,--
Byron Froese,20222023,VGK,R,C,9,1,1,2,0,4,0.22,1,2,0,0,0,0,0,0,15,6.7,9:58,59.6
Jonny Brodzinski,20222023,NYR,R,C,17,1,1,2,3,8,0.12,1,2,0,0,0,0,0,0,27,3.7,9:19,53.1
Austin Wagner,20222023,CHI,L,L,7,1,1,2,-2,0,0.29,1,2,0,0,0,0,0,1,13,7.7,12:08,--
Beck Malenstyn,20222023,WSH,L,L,9,1,1,2,0,2,0.22,1,2,0,0,0,0,0,1,7,14.3,9:55,100
Alex Nylander,20222023,PIT,R,L,9,1,1,2,1,6,0.22,1,2,0,0,0,0,0,0,11,9.1,12:18,50
Jack Rathbone,20222023,VAN,L,D,11,1,1,2,-1,2,0.18,1,2,0,0,0,0,0,0,12,8.3,14:14,--
Sammy Walker,20222023,MIN,R,C,9,1,1,2,-1,0,0.22,1,2,0,0,0,0,0,0,8,12.5,10:36,--
Egor Sokolov,20222023,OTT,R,L,5,1,1,2,2,0,0.4,1,2,0,0,0,0,0,1,5,20,7:02,--
Zac Jones,20222023,NYR,L,D,16,1,1,2,-2,4,0.13,1,2,0,0,0,0,0,1,15,6.7,15:37,--
Lukas Rousek,20222023,BUF,L,R,2,1,1,2,2,0,1,1,2,0,0,0,0,0,0,3,33.3,11:19,0
Danil Gushchin,20222023,SJS,L,L,2,1,1,2,-1,0,1,0,0,1,2,0,0,0,0,8,12.5,15:55,--
Luke Hughes,20222023,NJD,L,D,2,1,1,2,0,0,1,1,2,0,0,0,0,1,1,2,50,16:14,--
Shane Wright,20222023,SEA,R,C,8,1,1,2,4,2,0.25,1,2,0,0,0,0,0,0,4,25,8:29,32.3
Justin Braun,20222023,PHI,R,D,51,0,2,2,-1,19,0.04,0,2,0,0,0,0,0,0,42,0,14:59,--
Wayne Simmonds,20222023,TOR,R,R,18,0,2,2,1,49,0.11,0,2,0,0,0,0,0,0,9,0,7:27,100
Derrick Pouliot,20222023,SJS,L,D,8,0,2,2,-1,6,0.25,0,2,0,0,0,0,0,0,4,0,16:57,--
Ross Johnston,20222023,NYI,L,L,16,0,2,2,-1,37,0.13,0,2,0,0,0,0,0,0,2,0,7:48,100
Joel Hanley,20222023,DAL,L,D,26,0,2,2,5,15,0.08,0,2,0,0,0,0,0,0,14,0,11:38,--
Gabriel Carlsson,20222023,WSH,L,D,6,0,2,2,-1,0,0.33,0,2,0,0,0,0,0,0,3,0,13:46,--
Victor Mete,20222023,TOR,L,D,11,0,2,2,3,4,0.18,0,2,0,0,0,0,0,0,7,0,13:04,--
Otto Koivula,20222023,NYI,L,L,8,0,2,2,1,4,0.25,0,2,0,0,0,0,0,0,5,0,6:52,61.9
Urho Vaakanainen,20222023,ANA,L,D,23,0,2,2,-16,0,0.09,0,2,0,0,0,0,0,0,27,0,16:27,--
Mac Hollowell,20222023,TOR,R,D,6,0,2,2,3,2,0.33,0,2,0,0,0,0,0,0,4,0,12:56,--
Spencer Stastney,20222023,NSH,L,D,8,0,2,2,5,2,0.25,0,1,0,0,0,1,0,0,9,0,17:37,--
Brayden Pachal,20222023,VGK,R,D,10,0,2,2,2,8,0.2,0,2,0,0,0,0,0,0,18,0,16:37,--
Kaedan Korczak,20222023,VGK,R,D,10,0,2,2,-3,0,0.2,0,2,0,0,0,0,0,0,16,0,17:34,--
Henry Thrun,20222023,SJS,L,D,8,0,2,2,-3,0,0.25,0,2,0,0,0,0,0,0,7,0,19:52,--
Thomas Harley,20222023,DAL,L,D,6,0,2,2,5,2,0.33,0,2,0,0,0,0,0,0,8,0,16:48,--
Nick Abruzzese,20222023,TOR,L,C,2,0,2,2,1,0,1,0,1,0,1,0,0,0,0,2,0,8:59,--
Tyler Kleven,20222023,OTT,L,D,8,0,2,2,-1,2,0.25,0,2,0,0,0,0,0,0,11,0,14:41,--
Thomas Bordeleau,20222023,SJS,L,C,8,0,2,2,-3,0,0.25,0,2,0,0,0,0,0,0,9,0,15:14,25
Brandt Clarke,20222023,LAK,R,D,9,0,2,2,-1,6,0.22,0,1,0,1,0,0,0,0,11,0,13:39,--
Hunter McKown,20222023,CBJ,R,C,12,0,2,2,-4,8,0.17,0,2,0,0,0,0,0,0,13,0,12:14,55.2
Joseph Cramarossa,20222023,MIN,L,C,4,1,0,1,0,4,0.25,1,1,0,0,0,0,0,0,1,100,7:48,0
Laurent Dauphin,20222023,ARI,L,C,21,1,0,1,-4,10,0.05,1,1,0,0,0,0,0,0,25,4,10:28,53.5
Travis Dermott,20222023,VAN,L,D,11,1,0,1,-4,2,0.09,1,1,0,0,0,0,0,0,7,14.3,13:45,--
Brett Seney,20222023,CHI,L,L,7,1,0,1,-2,2,0.14,1,1,0,0,0,0,0,0,9,11.1,13:08,38.5
Kyle Criscuolo,20222023,SJS,R,C,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,50,13:14,100
Libor Hajek,20222023,NYR,L,D,16,1,0,1,2,4,0.06,1,1,0,0,0,0,0,0,13,7.7,13:16,--
Oskar Steen,20222023,BOS,R,C,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,5,20,9:09,0
David Gust,20222023,CHI,R,R,4,1,0,1,-2,2,0.25,1,1,0,0,0,0,0,0,7,14.3,14:12,--
Trey Fix-Wolansky,20222023,CBJ,R,R,9,1,0,1,-5,0,0.11,1,1,0,0,0,0,0,0,19,5.3,12:57,--
Cole Koepke,20222023,TBL,L,L,17,1,0,1,-5,2,0.06,1,1,0,0,0,0,0,0,12,8.3,9:06,--
John Leonard,20222023,NSH,L,L,6,1,0,1,0,2,0.17,1,1,0,0,0,0,0,1,4,25,11:32,--
Jacob Lucchini,20222023,OTT,L,C,11,1,0,1,-2,0,0.09,0,0,1,1,0,0,0,1,14,7.1,11:40,0
Nolan Foote,20222023,NJD,L,L,6,1,0,1,2,0,0.17,1,1,0,0,0,0,0,0,4,25,7:13,0
Nikita Okhotiuk,20222023,NJD,L,D,10,1,0,1,1,2,0.1,1,1,0,0,0,0,0,1,6,16.7,11:44,--
Drew Helleson,20222023,ANA,R,D,3,1,0,1,0,2,0.33,1,1,0,0,0,0,0,0,4,25,13:39,--
Egor Afanasyev,20222023,NSH,L,L,17,1,0,1,-7,2,0.06,1,1,0,0,0,0,0,0,21,4.8,10:51,--
Joona Luoto,20222023,CBJ,L,L,7,1,0,1,-7,0,0.14,1,1,0,0,0,0,0,0,7,14.3,12:28,100
Aidan McDonough,20222023,VAN,L,L,6,1,0,1,-2,2,0.17,1,1,0,0,0,0,0,0,4,25,9:19,100
Tyler Angle,20222023,CBJ,L,C,2,1,0,1,-2,0,0.5,1,1,0,0,0,0,0,0,5,20,11:29,44.4
Matej Blumel,20222023,DAL,L,R,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,7,14.3,9:42,--
Nikita Nesterenko,20222023,ANA,L,C,9,1,0,1,-3,0,0.11,1,1,0,0,0,0,0,0,23,4.4,13:17,0
Nikolai Knyzhov,20222023,SJS,L,D,12,1,0,1,-13,8,0.08,1,1,0,0,0,0,0,0,10,10,16:09,--
Sean Farrell,20222023,MTL,L,C,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,8,12.5,13:52,--
