Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Noah Cates,20222023,PHI,L,L,82,13,25,38,3,12,0.46,9,28,3,8,1,2,0,5,107,12.2,17:46,39.5
Nikolaj Ehlers,20222023,WPG,L,L,45,12,26,38,-2,11,0.84,9,26,3,12,0,0,0,0,132,9.1,15:39,50
Sean Durzi,20222023,LAK,R,D,72,9,29,38,-12,50,0.53,8,22,1,16,0,0,0,1,110,8.2,19:47,--
Noah Hanifin,20222023,CGY,L,D,81,7,31,38,2,33,0.47,6,29,1,8,0,1,0,0,176,4,22:39,--
Taylor Raddysh,20222023,CHI,R,R,78,20,17,37,-28,16,0.47,13,22,7,15,0,0,0,1,129,15.5,16:34,52.6
Brandon Saad,20222023,STL,L,L,71,19,18,37,-8,12,0.52,15,30,2,4,2,3,0,1,127,15,16:39,50
Ryan Hartman,20222023,MIN,R,R,59,15,22,37,7,90,0.63,12,29,1,4,2,4,0,6,149,10.1,16:18,42.9
Conor Sheary,20222023,WSH,L,L,82,15,22,37,9,22,0.45,11,28,2,7,2,2,0,1,154,9.7,15:46,51.3
Jack Quinn,20222023,BUF,R,R,75,14,23,37,-7,15,0.49,13,30,1,6,0,1,0,2,126,11.1,13:51,33.3
Teuvo Teravainen,20222023,CAR,L,L,68,12,25,37,11,16,0.54,5,23,5,11,2,3,0,2,144,8.3,16:55,62.3
Seth Jones,20222023,CHI,R,D,72,12,25,37,-38,30,0.51,10,24,2,12,0,1,1,1,178,6.7,24:27,--
Samuel Girard,20222023,COL,L,D,76,6,31,37,-10,16,0.49,5,28,1,8,0,1,1,1,119,5,21:30,--
Cole Caufield,20222023,MTL,R,R,46,26,10,36,-10,2,0.78,19,26,7,10,0,0,0,3,158,16.5,18:03,--
Taylor Hall,20222023,BOS,L,L,61,16,20,36,11,24,0.59,12,28,4,8,0,0,1,5,150,10.7,15:56,44.4
Phil Kessel,20222023,VGK,R,R,82,14,22,36,-7,30,0.44,12,27,2,9,0,0,0,0,149,9.4,12:49,41.7
Alex Iafallo,20222023,LAK,L,L,59,14,22,36,14,20,0.61,7,28,7,8,0,0,0,5,133,10.5,16:18,53.9
Adam Lowry,20222023,WPG,L,C,82,13,23,36,4,48,0.44,10,29,0,2,3,5,0,2,126,10.3,15:39,50.4
Stefan Noesen,20222023,CAR,R,R,78,13,23,36,11,32,0.46,6,21,7,15,0,0,0,4,134,9.7,12:20,49.1
Dmitry Orlov,20222023,"WSH,BOS",L,D,66,7,29,36,12,22,0.55,6,27,1,8,0,1,2,2,124,5.7,22:33,--
Shane Pinto,20222023,OTT,R,C,82,20,15,35,-21,18,0.43,15,26,5,9,0,0,0,2,158,12.7,15:59,52.1
T.J. Oshie,20222023,WSH,R,R,58,19,16,35,-18,59,0.6,10,24,9,11,0,0,0,2,126,15.1,16:43,46.1
Brandon Tanev,20222023,SEA,L,L,82,16,19,35,21,44,0.43,15,34,0,0,1,1,0,3,115,13.9,14:13,12
Cody Glass,20222023,NSH,R,C,72,14,21,35,9,20,0.49,8,26,6,9,0,0,1,2,131,10.7,14:46,49.8
Rasmus Sandin,20222023,"TOR,WSH",L,D,71,7,28,35,3,39,0.49,7,24,0,11,0,0,0,0,81,8.6,19:20,--
Owen Power,20222023,BUF,L,D,79,4,31,35,10,24,0.44,4,26,0,8,0,1,1,1,130,3.1,23:48,--
Zach Parise,20222023,NYI,L,L,82,21,13,34,7,24,0.41,16,27,3,4,2,3,1,2,182,11.5,16:09,37.9
Jordan Staal,20222023,CAR,L,C,81,17,17,34,7,32,0.42,16,32,0,0,1,2,0,3,124,13.7,16:16,55.7
Travis Boyd,20222023,ARI,R,C,82,15,19,34,-32,26,0.41,13,24,2,10,0,0,1,3,94,16,16:32,43.4
Kasperi Kapanen,20222023,"PIT,STL",R,R,66,15,19,34,-8,18,0.52,11,27,3,6,1,1,1,5,116,12.9,13:41,38
Mike Hoffman,20222023,MTL,L,L,67,14,20,34,-10,28,0.51,13,24,1,10,0,0,2,3,148,9.5,15:40,57.1
Jordan Martinook,20222023,CAR,L,L,82,13,21,34,7,61,0.41,12,32,0,0,1,2,0,3,162,8,15:38,45.1
Jared Spurgeon,20222023,MIN,R,D,79,11,23,34,32,14,0.43,10,29,1,4,0,1,0,3,149,7.4,21:49,--
Blake Lizotte,20222023,LAK,L,C,81,11,23,34,11,70,0.42,11,32,0,0,0,2,0,1,108,10.2,12:57,51.2
Mike Matheson,20222023,MTL,L,D,48,8,26,34,7,33,0.71,8,23,0,9,0,2,1,2,126,6.4,24:27,--
Justin Schultz,20222023,SEA,R,D,73,7,27,34,4,40,0.47,6,21,1,13,0,0,1,4,98,7.1,17:47,--
Juuso Valimaki,20222023,ARI,L,D,78,4,30,34,-10,59,0.44,3,22,1,12,0,0,0,1,93,4.3,18:11,--
Kyle Palmieri,20222023,NYI,R,C,55,16,17,33,13,24,0.6,13,28,3,5,0,0,0,3,122,13.1,17:06,37.5
Kevin Labanc,20222023,SJS,R,R,72,15,18,33,-17,36,0.46,13,30,2,3,0,0,0,0,129,11.6,14:20,62.5
Anton Lundell,20222023,FLA,L,C,73,12,21,33,1,43,0.45,10,26,0,5,2,2,0,1,152,7.9,16:22,46.5
Sonny Milano,20222023,WSH,L,L,64,11,22,33,-5,18,0.52,10,28,1,5,0,0,0,3,80,13.8,12:54,--
John Klingberg,20222023,"ANA,MIN",R,D,67,10,23,33,-25,34,0.49,8,23,2,10,0,0,1,3,112,8.9,20:37,--
Neal Pionk,20222023,WPG,R,D,82,10,23,33,-12,44,0.4,9,29,1,3,0,1,2,2,142,7,21:56,--
Jakob Chychrun,20222023,"ARI,OTT",L,D,48,9,24,33,7,30,0.69,5,25,4,8,0,0,0,0,144,6.3,22:42,--
Adam Larsson,20222023,SEA,R,D,82,8,25,33,27,47,0.4,7,32,0,0,1,1,1,2,143,5.6,23:38,--
Evgenii Dadonov,20222023,"MTL,DAL",L,R,73,7,26,33,-8,18,0.45,7,25,0,8,0,0,0,0,110,6.4,14:43,25
Damon Severson,20222023,NJD,R,D,81,7,26,33,9,38,0.41,5,28,1,4,1,1,1,2,102,6.9,19:57,--
Josh Anderson,20222023,MTL,R,R,69,21,11,32,-8,72,0.46,16,27,4,4,1,1,0,5,164,12.8,16:58,43.2
Nicholas Paul,20222023,TBL,L,L,80,17,15,32,11,33,0.4,12,27,4,4,1,1,0,4,120,14.2,16:10,53.8
Ross Colton,20222023,TBL,L,C,81,16,16,32,-8,50,0.4,12,23,4,9,0,0,0,3,153,10.5,12:21,56.1
Tyler Johnson,20222023,CHI,R,C,56,12,20,32,-21,16,0.57,8,23,4,9,0,0,0,0,125,9.6,16:34,51.3
JJ Peterka,20222023,BUF,L,R,77,12,20,32,-15,26,0.42,10,27,2,5,0,0,0,1,125,9.6,13:39,55.6
Alexander Kerfoot,20222023,TOR,L,C,82,10,22,32,8,30,0.39,7,27,2,3,1,2,0,1,133,7.5,14:37,44.8
Mattias Ekholm,20222023,"NSH,EDM",L,D,78,9,23,32,28,28,0.41,9,27,0,4,0,1,0,0,135,6.7,21:28,--
Torey Krug,20222023,STL,L,D,63,7,25,32,-26,49,0.51,3,18,4,14,0,0,0,1,126,5.6,18:35,--
Jake Sanderson,20222023,OTT,L,D,77,4,28,32,-6,12,0.42,2,15,2,17,0,0,0,0,132,3,21:55,--
Eeli Tolvanen,20222023,"NSH,SEA",L,R,61,18,13,31,8,14,0.51,14,24,4,7,0,0,0,4,116,15.5,14:31,25
Trent Frederic,20222023,BOS,L,C,79,17,14,31,28,57,0.39,17,30,0,0,0,1,0,6,120,14.2,11:55,33.3
Jonathan Toews,20222023,CHI,L,C,53,15,16,31,-31,43,0.58,6,19,9,12,0,0,1,1,87,17.2,17:43,63.1
Mason Marchment,20222023,DAL,L,L,68,12,19,31,-6,80,0.46,10,26,2,5,0,0,0,2,148,8.1,15:42,40
Barclay Goodrow,20222023,NYR,L,C,82,11,20,31,3,58,0.38,10,28,1,2,0,1,0,2,89,12.4,14:10,45.9
J.J. Moser,20222023,ARI,L,D,82,7,24,31,-12,35,0.38,4,20,3,11,0,0,0,1,93,7.5,21:03,--
Jeff Petry,20222023,PIT,R,D,61,5,26,31,2,24,0.51,3,22,2,9,0,0,0,0,113,4.4,22:21,--
MacKenzie Weegar,20222023,CGY,R,D,81,4,27,31,15,43,0.38,4,27,0,3,0,1,0,1,160,2.5,21:06,--
Pierre Engvall,20222023,"TOR,NYI",L,L,76,17,13,30,8,31,0.39,16,27,1,3,0,0,0,4,131,13,13:38,51.6
Ryan O'Reilly,20222023,"STL,TOR",L,C,53,16,14,30,-21,16,0.57,14,24,1,5,1,1,1,4,102,15.7,17:56,55.8
Nicolas Roy,20222023,VGK,R,C,65,14,16,30,10,24,0.46,11,23,3,6,0,1,1,5,101,13.9,16:18,48.1
Alex Newhook,20222023,COL,L,C,82,14,16,30,0,22,0.37,13,28,1,2,0,0,0,3,116,12.1,13:57,41.4
Yegor Sharangovich,20222023,NJD,L,C,75,13,17,30,-3,16,0.4,11,26,0,0,2,4,1,2,131,9.9,14:25,32.9
Colton Sissons,20222023,NSH,R,C,82,12,18,30,-4,20,0.37,11,27,0,2,1,1,0,1,87,13.8,15:50,53.5
Jason Dickinson,20222023,CHI,L,C,78,9,21,30,-29,28,0.38,8,25,1,1,0,4,0,1,114,7.9,15:56,47.7
Jacob Trouba,20222023,NYR,R,D,82,8,22,30,7,63,0.37,5,23,2,5,1,2,0,2,199,4,21:12,0
Tyler Bertuzzi,20222023,"DET,BOS",L,L,50,8,22,30,-8,29,0.6,4,20,4,10,0,0,0,0,107,7.5,16:29,23.5
Cole Perfetti,20222023,WPG,L,C,51,8,22,30,10,16,0.59,7,25,1,5,0,0,0,0,90,8.9,14:58,27.3
Brett Pesce,20222023,CAR,R,D,82,5,25,30,11,43,0.37,4,24,1,4,0,2,1,2,144,3.5,22:01,--
Nick Bjugstad,20222023,"ARI,EDM",R,C,78,17,12,29,13,34,0.37,15,27,1,1,1,1,0,1,145,11.7,16:12,47.8
Eric Staal,20222023,FLA,L,C,72,14,15,29,-5,26,0.4,12,27,0,0,2,2,0,1,106,13.2,14:14,46.2
Jeff Carter,20222023,PIT,R,C,79,13,16,29,-16,30,0.37,9,19,4,9,0,1,1,2,139,9.4,13:42,59.4
James van Riemsdyk,20222023,PHI,L,L,61,12,17,29,-3,28,0.48,10,25,2,4,0,0,0,1,119,10.1,15:21,50
Anthony Cirelli,20222023,TBL,L,C,58,11,18,29,13,33,0.5,8,25,1,2,2,2,0,1,111,9.9,16:34,51.4
Jesper Fast,20222023,CAR,R,R,80,10,19,29,9,16,0.36,10,26,0,0,0,3,0,1,76,13.2,14:44,40
Trevor Moore,20222023,LAK,L,L,59,10,19,29,-2,14,0.49,7,20,2,7,1,2,0,1,163,6.1,16:59,35.9
Michael Rasmussen,20222023,DET,L,C,56,10,19,29,2,43,0.52,10,28,0,1,0,0,0,0,88,11.4,15:06,51
John Carlson,20222023,WSH,R,D,40,9,20,29,-7,12,0.73,5,16,3,12,1,1,0,0,124,7.3,23:23,--
Nick Jensen,20222023,WSH,R,D,77,5,24,29,-1,18,0.38,5,28,0,0,0,1,0,0,109,4.6,20:37,--
Calen Addison,20222023,MIN,R,D,62,3,26,29,-17,22,0.47,3,11,0,18,0,0,0,1,77,3.9,16:07,--
Jonathan Drouin,20222023,MTL,L,L,58,2,27,29,-18,18,0.5,2,20,0,9,0,0,0,0,69,2.9,14:54,44.5
