Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Evan Rodrigues,20222023,COL,R,C,69,16,23,39,7,30,0.57,10,28,6,11,0,0,0,2,184,8.7,17:51,49.4
Alexis Lafrenière,20222023,NYR,L,L,81,16,23,39,10,33,0.48,13,35,3,4,0,0,1,2,135,11.9,15:13,36.8
Joel Farabee,20222023,PHI,L,L,82,15,24,39,-1,41,0.48,15,37,0,2,0,0,0,1,145,10.3,17:01,35.6
Seth Jarvis,20222023,CAR,R,C,82,14,25,39,10,12,0.48,13,33,0,5,1,1,0,0,187,7.5,16:12,34.6
Andre Burakovsky,20222023,SEA,L,L,49,13,26,39,-9,14,0.8,9,25,4,14,0,0,2,3,105,12.4,16:33,0
Filip Hronek,20222023,"DET,VAN",R,D,64,9,30,39,7,34,0.61,5,23,4,16,0,0,0,1,124,7.3,21:42,--
Adam Henrique,20222023,ANA,L,C,62,22,16,38,-8,22,0.61,18,28,4,10,0,0,0,1,132,16.7,18:11,51.1
Frederick Gaudreau,20222023,MIN,R,C,82,19,19,38,10,10,0.46,12,29,3,4,4,5,0,3,138,13.8,16:03,49.3
Blake Coleman,20222023,CGY,L,C,82,18,20,38,9,54,0.46,16,36,0,0,2,2,0,2,188,9.6,15:12,47.6
Brady Skjei,20222023,CAR,L,D,81,18,20,38,7,40,0.47,13,30,4,7,1,1,0,3,188,9.6,21:49,--
Mark Stone,20222023,VGK,R,R,43,17,21,38,11,10,0.88,12,27,3,9,2,2,0,1,113,15,19:23,0
Aaron Ekblad,20222023,FLA,R,D,71,14,24,38,-14,68,0.54,5,18,8,19,1,1,0,2,216,6.5,23:24,--
Kirby Dach,20222023,MTL,R,C,58,14,24,38,-2,43,0.66,8,20,6,16,0,2,1,2,107,13.1,18:30,38.3
Alex Wennberg,20222023,SEA,L,C,82,13,25,38,-7,20,0.46,9,29,4,9,0,0,0,3,101,12.9,18:42,45.6
