Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Mathieu Olivier,20222023,CBJ,R,R,66,5,10,15,-20,81,0.23,5,15,0,0,0,0,0,1,75,6.7,11:38,13.3
Aliaksei Protas,20222023,WSH,L,C,58,4,11,15,-8,12,0.26,4,15,0,0,0,0,0,0,83,4.8,11:31,32.8
Justin Barron,20222023,MTL,R,D,39,4,11,15,-2,20,0.38,2,12,1,2,1,1,0,1,40,10,16:18,--
Marc Staal,20222023,FLA,L,D,82,3,12,15,10,43,0.18,3,15,0,0,0,0,0,0,55,5.5,18:12,--
Jake Middleton,20222023,MIN,L,D,79,3,12,15,15,72,0.19,3,14,0,0,0,1,0,0,79,3.8,19:02,--
Johnathan Kovacevic,20222023,MTL,R,D,77,3,12,15,3,39,0.19,3,15,0,0,0,0,0,0,92,3.3,17:25,--
Rasmus Kupari,20222023,LAK,R,C,66,3,12,15,-5,12,0.23,3,14,0,0,0,1,0,0,53,5.7,10:06,54.6
Cody Ceci,20222023,EDM,R,D,80,1,14,15,11,24,0.19,1,15,0,0,0,0,0,0,88,1.1,20:08,--
Zach Aston-Reese,20222023,TOR,L,C,77,10,4,14,-6,25,0.18,10,14,0,0,0,0,0,2,89,11.2,10:56,50
Julien Gauthier,20222023,"NYR,OTT",R,R,57,9,5,14,-6,6,0.25,9,14,0,0,0,0,0,0,53,17,8:38,37.5
Sam Gagner,20222023,WPG,R,C,48,8,6,14,-4,13,0.29,7,11,1,3,0,0,0,2,78,10.3,12:10,30.4
Brendan Gallagher,20222023,MTL,R,R,37,8,6,14,-5,45,0.38,8,12,0,2,0,0,0,2,93,8.6,14:17,35.3
Evgeny Svechnikov,20222023,SJS,L,L,59,8,6,14,-6,26,0.24,8,14,0,0,0,0,0,0,64,12.5,10:45,50
Joel Armia,20222023,MTL,R,R,43,7,7,14,-7,22,0.33,6,12,0,1,1,1,0,0,69,10.1,14:57,33.3
Ryan Poehling,20222023,PIT,L,C,53,7,7,14,-2,8,0.26,5,11,0,0,2,3,0,0,64,10.9,11:46,45.3
Liam Foudy,20222023,CBJ,L,C,62,7,7,14,-26,8,0.23,7,14,0,0,0,0,0,0,67,10.5,12:08,33.3
Alex Belzile,20222023,MTL,R,R,31,6,8,14,0,13,0.45,6,14,0,0,0,0,0,0,40,15,12:08,46.8
Jujhar Khaira,20222023,CHI,L,L,51,6,8,14,-11,31,0.27,4,11,1,2,1,1,0,0,59,10.2,13:53,48.4
Jalen Chatfield,20222023,CAR,R,D,78,6,8,14,23,35,0.18,5,12,0,0,1,2,0,2,93,6.5,14:07,--
Axel Jonsson-Fjallby,20222023,WPG,L,L,50,6,8,14,-1,8,0.28,6,13,0,0,0,1,0,2,54,11.1,10:27,20
Pat Maroon,20222023,TBL,L,L,80,5,9,14,-5,150,0.18,5,13,0,1,0,0,0,0,62,8.1,10:21,16.7
Nick Seeler,20222023,PHI,L,D,77,4,10,14,1,56,0.18,4,13,0,0,0,1,0,0,84,4.8,14:29,--
Matt Dumba,20222023,MIN,R,D,79,4,10,14,-8,81,0.18,4,14,0,0,0,0,0,2,99,4,21:17,--
Isac Lundestrom,20222023,ANA,L,C,61,4,10,14,-13,2,0.23,3,13,0,0,1,1,0,0,60,6.7,14:20,47.5
Nick Blankenburg,20222023,CBJ,R,D,36,4,10,14,-16,16,0.39,4,10,0,4,0,0,0,1,50,8,19:10,--
Alec Martinez,20222023,VGK,L,D,77,3,11,14,30,29,0.18,2,13,0,0,1,1,1,2,76,4,19:13,--
Jonas Brodin,20222023,MIN,L,D,60,3,11,14,13,30,0.23,3,12,0,0,0,2,0,0,90,3.3,22:52,--
Troy Stecher,20222023,"ARI,CGY",R,D,81,3,11,14,-6,44,0.17,3,14,0,0,0,0,0,1,88,3.4,16:22,--
TJ Brodie,20222023,TOR,L,D,58,2,12,14,10,14,0.24,2,13,0,0,0,1,0,0,58,3.5,21:13,--
Gavin Bayreuther,20222023,CBJ,L,D,51,2,12,14,-18,23,0.27,2,13,0,1,0,0,0,0,61,3.3,15:57,--
Conor Timmins,20222023,"ARI,TOR",R,D,27,2,12,14,-1,8,0.52,2,10,0,4,0,0,0,1,19,10.5,15:05,--
Ilya Lyubushkin,20222023,BUF,R,D,68,2,12,14,-2,38,0.21,1,12,0,0,1,2,1,1,41,4.9,15:01,--
Brett Ritchie,20222023,"CGY,ARI",R,R,50,8,5,13,0,25,0.26,8,12,0,1,0,0,0,0,68,11.8,10:03,50
Connor Murphy,20222023,CHI,R,D,80,7,6,13,-10,69,0.16,5,11,0,0,2,2,0,0,85,8.2,19:23,--
Kiefer Sherwood,20222023,NSH,R,L,32,7,6,13,4,30,0.41,6,11,1,2,0,0,0,0,57,12.3,13:36,60
Brett Howden,20222023,VGK,L,C,54,6,7,13,5,55,0.24,6,13,0,0,0,0,0,0,53,11.3,13:04,51.5
Andrew Peeke,20222023,CBJ,R,D,80,6,7,13,-41,22,0.16,6,12,0,0,0,1,0,1,90,6.7,21:15,--
Luke Kunin,20222023,SJS,R,C,31,5,8,13,-9,42,0.42,3,9,2,4,0,0,0,0,58,8.6,15:26,41.7
Pontus Holmberg,20222023,TOR,L,R,37,5,8,13,0,18,0.35,4,12,1,1,0,0,0,2,27,18.5,10:25,42.5
Arber Xhekaj,20222023,MTL,L,D,51,5,8,13,-9,101,0.25,3,10,2,3,0,0,0,0,75,6.7,15:16,--
Pierre-Edouard Bellemare,20222023,TBL,L,L,73,4,9,13,-9,34,0.18,4,11,0,0,0,2,0,0,51,7.8,11:17,52.3
