Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Yegor Chinakhov,20222023,CBJ,L,R,30,4,9,13,-6,10,0.43,3,11,1,2,0,0,0,0,44,9.1,13:15,33.3
Henri Jokiharju,20222023,BUF,R,D,60,3,10,13,-12,30,0.22,3,13,0,0,0,0,0,0,79,3.8,21:01,--
Sean Walker,20222023,LAK,R,D,70,3,10,13,-3,36,0.19,3,12,0,1,0,0,0,1,94,3.2,14:50,--
Joel Edmundson,20222023,MTL,L,D,61,2,11,13,-29,58,0.21,2,12,0,0,0,1,0,0,69,2.9,19:34,--
Chris Tanev,20222023,CGY,R,D,65,1,12,13,7,21,0.2,1,12,0,1,0,0,0,1,75,1.3,20:07,--
Erik Gudbranson,20222023,CBJ,R,D,70,1,12,13,-24,57,0.19,1,13,0,0,0,0,0,1,102,1,21:18,--
Mark Jankowski,20222023,NSH,L,C,50,7,5,12,-1,18,0.24,4,9,0,0,3,3,0,3,57,12.3,12:26,55.7
Jaret Anderson-Dolan,20222023,LAK,L,C,46,7,5,12,-11,2,0.26,7,11,0,1,0,0,0,2,54,13,10:37,59
Cal Clutterbuck,20222023,NYI,R,R,49,6,6,12,9,30,0.24,6,12,0,0,0,0,0,1,44,13.6,12:13,20
Nicolas Deslauriers,20222023,PHI,L,L,80,6,6,12,-11,136,0.15,5,11,0,0,1,1,0,0,70,8.6,10:06,27.3
Josh Archibald,20222023,PIT,R,R,62,6,6,12,6,43,0.19,6,12,0,0,0,0,0,0,71,8.5,9:59,25
Phillip Di Giuseppe,20222023,VAN,L,L,30,6,6,12,-1,14,0.4,6,10,0,1,0,1,0,0,71,8.5,14:34,25
Derek Forbort,20222023,BOS,L,D,54,5,7,12,12,23,0.22,3,10,0,0,2,2,0,2,38,13.2,17:44,--
A.J. Greer,20222023,BOS,L,L,61,5,7,12,9,114,0.2,5,12,0,0,0,0,0,1,66,7.6,9:07,66.7
Zach Whitecloud,20222023,VGK,R,D,59,5,7,12,10,41,0.2,5,12,0,0,0,0,0,1,64,7.8,17:07,--
Patrick Brown,20222023,"PHI,OTT",R,C,61,4,8,12,-2,44,0.2,3,11,0,0,1,1,0,0,60,6.7,11:23,52.5
Nicolas Aube-Kubel,20222023,"TOR,WSH",R,R,53,4,8,12,1,50,0.23,4,12,0,0,0,0,0,0,67,6,11:21,42.9
Jeremy Lauzon,20222023,NSH,L,D,67,3,9,12,-11,66,0.18,3,11,0,0,0,1,0,0,77,3.9,16:51,--
Calvin de Haan,20222023,CAR,L,D,53,2,10,12,7,20,0.23,2,12,0,0,0,0,0,0,51,3.9,13:32,--
Jon Merrill,20222023,MIN,L,D,73,2,10,12,-2,38,0.16,2,12,0,0,0,0,0,0,43,4.7,15:09,--
Jaycob Megna,20222023,"SJS,SEA",L,D,54,1,11,12,3,21,0.22,1,11,0,0,0,1,0,0,56,1.8,18:52,--
Austin Watson,20222023,OTT,R,L,75,9,2,11,-7,123,0.15,6,8,0,0,3,3,0,2,79,11.4,10:14,46.7
Mark Kastelic,20222023,OTT,R,C,65,7,4,11,-6,102,0.17,7,11,0,0,0,0,0,2,73,9.6,8:54,57
Walker Duehr,20222023,CGY,R,R,27,7,4,11,0,4,0.41,7,11,0,0,0,0,0,2,47,14.9,10:12,14.3
Michael Stone,20222023,CGY,R,D,48,6,5,11,2,35,0.23,6,9,0,2,0,0,0,1,92,6.5,13:19,--
Jordan Greenway,20222023,"MIN,BUF",L,L,62,6,5,11,-6,26,0.18,6,11,0,0,0,0,0,0,99,6.1,13:30,14.3
Derek Stepan,20222023,CAR,R,C,73,5,6,11,8,8,0.15,5,10,0,0,0,1,0,0,98,5.1,9:05,54.3
Drew O'Connor,20222023,PIT,L,L,46,5,6,11,-3,12,0.24,5,11,0,0,0,0,0,0,62,8.1,9:49,46.2
Scott Harrington,20222023,"SJS,ANA",L,D,45,4,7,11,-6,10,0.24,4,11,0,0,0,0,0,1,33,12.1,16:26,--
Mario Ferraro,20222023,SJS,L,D,72,4,7,11,-31,24,0.15,4,10,0,1,0,0,0,0,66,6.1,21:36,0
Liam O'Brien,20222023,ARI,L,C,56,3,8,11,-5,114,0.2,3,11,0,0,0,0,0,0,39,7.7,11:26,26.7
Cole Sillinger,20222023,CBJ,L,C,64,3,8,11,-23,22,0.17,1,8,2,3,0,0,0,0,93,3.2,13:19,44.3
Marcus Bjork,20222023,CBJ,R,D,33,3,8,11,-9,42,0.33,2,5,1,6,0,0,0,0,34,8.8,18:09,--
Alexander Edler,20222023,LAK,L,D,64,2,9,11,-1,34,0.17,2,11,0,0,0,0,0,1,56,3.6,14:46,--
Vinnie Hinostroza,20222023,BUF,R,C,26,2,9,11,-1,6,0.42,2,10,0,0,0,1,0,1,38,5.3,12:36,25
Jordan Oesterle,20222023,DET,L,D,52,2,9,11,-9,19,0.21,2,11,0,0,0,0,0,0,54,3.7,15:39,--
Dante Fabbro,20222023,NSH,R,D,79,2,9,11,-4,50,0.14,2,10,0,1,0,0,0,0,101,2,17:27,--
Brandon Duhaime,20222023,MIN,L,R,51,9,1,10,6,42,0.2,8,9,0,0,1,1,0,3,80,11.3,10:45,28.6
Jake Neighbours,20222023,STL,L,L,43,6,4,10,-19,24,0.23,5,8,1,2,0,0,0,1,53,11.3,12:26,36.8
Brad Hunt,20222023,COL,L,D,47,4,6,10,4,12,0.21,4,10,0,0,0,0,0,0,46,8.7,11:13,--
Saku Maenalanen,20222023,WPG,L,R,64,4,6,10,0,16,0.16,4,10,0,0,0,0,0,0,61,6.6,10:20,37.5
Dylan Gambrell,20222023,OTT,R,C,60,4,6,10,-4,35,0.17,4,8,0,0,0,2,0,0,46,8.7,11:23,45.1
Zack MacEwen,20222023,"PHI,LAK",R,C,56,4,6,10,-11,66,0.18,4,10,0,0,0,0,0,3,73,5.5,11:34,51.7
MacKenzie Entwistle,20222023,CHI,R,R,66,4,6,10,-11,14,0.15,4,9,0,1,0,0,0,0,50,8,11:55,46.7
Juraj Slafkovsky,20222023,MTL,L,L,39,4,6,10,-13,33,0.26,3,8,1,2,0,0,0,0,42,9.5,12:13,50
Chris Tierney,20222023,"FLA,MTL",L,C,36,3,7,10,-8,6,0.28,3,9,0,0,0,1,0,0,19,15.8,10:52,47
Simon Benoit,20222023,ANA,L,D,78,3,7,10,-29,60,0.13,3,10,0,0,0,0,0,0,82,3.7,19:21,--
Artem Zub,20222023,OTT,R,D,53,3,7,10,2,39,0.19,3,10,0,0,0,0,0,0,41,7.3,20:15,--
Colin Blackwell,20222023,CHI,R,C,53,2,8,10,-16,6,0.19,2,9,0,0,0,1,0,0,53,3.8,11:48,50
Josh Manson,20222023,COL,R,D,27,2,8,10,13,42,0.37,2,10,0,0,0,0,0,2,41,4.9,17:41,--
Nathan Walker,20222023,STL,L,L,56,2,8,10,10,25,0.18,2,10,0,0,0,0,0,1,43,4.7,10:17,53.7
Mattias Samuelsson,20222023,BUF,L,D,55,2,8,10,14,20,0.18,2,9,0,0,0,1,0,0,76,2.6,22:11,--
Joel Kiviranta,20222023,DAL,L,L,70,8,1,9,-9,40,0.13,7,8,0,0,1,1,0,0,85,9.4,12:09,30
Pavel Dorofeyev,20222023,VGK,L,L,18,7,2,9,5,6,0.5,5,6,2,3,0,0,0,3,40,17.5,14:14,0
Alex Chiasson,20222023,DET,R,R,20,6,3,9,-8,6,0.45,1,2,5,7,0,0,0,0,25,24,12:04,0
Kevin Stenlund,20222023,WPG,R,C,54,6,3,9,3,20,0.17,4,7,0,0,2,2,0,0,63,9.5,11:39,53.2
Joey Anderson,20222023,"TOR,CHI",R,R,38,6,3,9,-8,0,0.24,6,9,0,0,0,0,0,1,41,14.6,11:42,0
Brett Leason,20222023,ANA,R,R,54,6,3,9,-21,14,0.17,6,9,0,0,0,0,0,1,51,11.8,10:54,33.3
Simon Holmstrom,20222023,NYI,L,R,50,6,3,9,-4,0,0.18,6,9,0,0,0,0,0,2,39,15.4,11:06,0
