Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Sidney Crosby,20222023,PIT,L,C,82,33,60,93,8,52,1.13,24,66,9,27,0,0,1,9,255,12.9,20:09,53
Artemi Panarin,20222023,NYR,R,L,82,29,63,92,4,36,1.12,20,56,9,36,0,0,1,4,204,14.2,19:36,31.6
Mika Zibanejad,20222023,NYR,R,C,82,39,52,91,25,20,1.11,18,50,20,39,1,2,0,5,251,15.5,19:58,49.5
Tim Stützle,20222023,OTT,L,L,78,39,51,90,-3,54,1.15,26,59,10,28,3,3,1,3,228,17.1,21:16,41.6
William Nylander,20222023,TOR,R,R,82,40,47,87,10,28,1.06,31,59,9,28,0,0,3,5,293,13.7,18:33,42.4
Clayton Keller,20222023,ARI,L,R,82,37,49,86,-2,49,1.05,30,65,6,20,1,1,2,4,223,16.6,20:45,34.9
Auston Matthews,20222023,TOR,L,C,74,40,45,85,31,20,1.15,27,57,13,28,0,0,0,8,327,12.2,20:17,52.4
Steven Stamkos,20222023,TBL,R,C,81,34,50,84,-5,46,1.04,20,49,14,35,0,0,2,6,240,14.2,19:01,53.8
Zach Hyman,20222023,EDM,R,L,79,36,47,83,13,39,1.05,21,57,15,26,0,0,0,3,276,13,20:09,50
Brady Tkachuk,20222023,OTT,L,L,82,35,48,83,-10,126,1.01,24,54,11,29,0,0,2,6,347,10.1,18:38,48.4
Evgeni Malkin,20222023,PIT,L,C,82,27,56,83,-12,82,1.01,16,47,11,36,0,0,0,3,240,11.3,18:35,49.3
Jeff Skinner,20222023,BUF,L,L,79,35,47,82,15,39,1.04,27,61,8,21,0,0,1,3,242,14.5,17:24,47.3
J.T. Miller,20222023,VAN,L,C,81,32,50,82,-7,60,1.01,16,43,11,30,5,9,1,3,223,14.4,20:41,55
John Tavares,20222023,TOR,L,C,80,36,44,80,-7,34,1,18,41,18,39,0,0,1,9,277,13,17:39,58.3
Kyle Connor,20222023,WPG,L,L,82,31,49,80,-11,20,0.98,23,51,8,29,0,0,2,8,273,11.4,20:32,28.6
Nico Hischier,20222023,NJD,L,C,81,31,49,80,33,10,0.99,21,57,7,19,3,4,2,9,256,12.1,19:17,53.9
Alex Tuch,20222023,BUF,R,R,74,36,43,79,14,20,1.07,27,58,8,20,1,1,1,9,218,16.5,19:09,42.7
Claude Giroux,20222023,OTT,R,R,82,35,44,79,4,34,0.96,28,54,7,24,0,1,1,6,214,16.4,18:48,58.3
Dylan Larkin,20222023,DET,L,C,80,32,47,79,-7,45,0.99,15,47,16,31,1,1,0,5,244,13.1,19:33,54.4
Jamie Benn,20222023,DAL,L,L,82,33,45,78,23,34,0.95,18,45,13,30,2,3,0,4,190,17.4,15:47,60.1
Aleksander Barkov,20222023,FLA,L,C,68,23,55,78,10,8,1.15,14,46,8,30,1,2,0,6,208,11.1,21:13,54.9
Joe Pavelski,20222023,DAL,R,C,82,28,49,77,42,8,0.94,15,49,13,27,0,1,0,2,184,15.2,17:43,53.4
Josh Morrissey,20222023,WPG,L,D,78,16,60,76,2,41,0.97,14,48,2,28,0,0,2,6,172,9.3,24:14,--
Quinn Hughes,20222023,VAN,L,D,78,7,69,76,15,34,0.97,5,41,2,34,0,1,0,0,154,4.6,25:40,--
Alex Ovechkin,20222023,WSH,R,L,73,42,33,75,-16,48,1.03,28,50,14,25,0,0,1,3,294,14.3,20:12,44.4
Kirill Kaprizov,20222023,MIN,L,L,67,40,35,75,4,45,1.12,23,43,17,32,0,0,2,6,261,15.3,21:07,40
Roope Hintz,20222023,DAL,L,C,73,37,38,75,31,30,1.03,25,51,9,21,3,3,0,5,184,20.1,17:33,52
Brock Nelson,20222023,NYI,L,C,82,36,39,75,13,24,0.91,30,58,6,17,0,0,1,8,222,16.2,18:26,47.3
Andrei Kuzmenko,20222023,VAN,R,L,81,39,35,74,9,8,0.91,25,55,14,19,0,0,2,4,143,27.3,16:15,0
Anze Kopitar,20222023,LAK,L,C,82,28,46,74,20,4,0.9,21,53,7,20,0,1,0,4,169,16.6,20:18,55.9
Dougie Hamilton,20222023,NJD,R,D,82,22,52,74,23,50,0.9,14,46,8,28,0,0,2,7,275,8,21:46,--
Johnny Gaudreau,20222023,CBJ,L,L,80,21,53,74,-33,22,0.93,18,50,3,24,0,0,3,4,220,9.6,19:25,--
Carter Verhaeghe,20222023,FLA,L,C,81,42,31,73,10,46,0.9,35,60,7,13,0,0,1,2,275,15.3,17:30,48.8
Jordan Kyrou,20222023,STL,R,C,79,37,36,73,-38,22,0.92,26,49,11,23,0,1,1,5,272,13.6,18:00,35.7
Jake Guentzel,20222023,PIT,L,L,78,36,37,73,2,46,0.94,25,50,11,23,0,0,1,6,244,14.8,20:07,50
Tyler Toffoli,20222023,CGY,R,R,82,34,39,73,16,28,0.89,24,48,10,25,0,0,2,4,268,12.7,16:37,58.3
Jesper Bratt,20222023,NJD,L,L,82,32,41,73,14,6,0.89,24,51,8,22,0,0,1,3,212,15.1,17:22,--
Brandon Montour,20222023,FLA,R,D,80,16,57,73,9,107,0.91,13,40,3,33,0,0,2,5,242,6.6,24:08,--
Rasmus Dahlin,20222023,BUF,L,D,78,15,58,73,12,92,0.94,9,41,6,32,0,0,0,2,204,7.4,25:48,--
Miro Heiskanen,20222023,DAL,L,D,79,11,62,73,12,32,0.92,9,38,2,34,0,1,1,2,206,5.3,25:29,--
Kevin Fiala,20222023,LAK,L,L,69,23,49,72,2,52,1.04,16,48,7,24,0,0,2,2,208,11.1,17:36,50
Adam Fox,20222023,NYR,R,D,82,12,60,72,28,34,0.88,11,40,1,29,0,3,1,5,159,7.6,24:23,--
Martin Necas,20222023,CAR,R,C,82,28,43,71,5,32,0.87,19,44,9,26,0,1,4,5,240,11.7,18:25,45.1
Jared McCann,20222023,SEA,L,L,79,40,30,70,18,14,0.89,30,51,7,16,3,3,0,3,210,19.1,16:20,33.3
Bo Horvat,20222023,"VAN,NYI",L,C,79,38,32,70,-1,18,0.89,22,43,12,22,4,5,1,5,229,16.6,20:39,56.9
Mark Scheifele,20222023,WPG,R,C,81,42,26,68,-16,43,0.84,30,46,12,22,0,0,2,10,206,20.4,20:29,48
Dylan Cozens,20222023,BUF,R,C,81,31,37,68,-3,41,0.84,24,47,5,18,2,3,1,1,211,14.7,16:30,48.3
Adrian Kempe,20222023,LAK,L,R,82,41,26,67,22,55,0.82,27,44,11,20,3,3,1,6,250,16.4,18:45,31.4
Sebastian Aho,20222023,CAR,L,C,75,36,31,67,8,42,0.89,26,48,7,15,3,4,2,9,218,16.5,19:30,51.4
Sam Reinhart,20222023,FLA,R,C,82,31,36,67,-12,12,0.82,15,37,16,27,0,3,1,5,227,13.7,19:47,50.6
Logan Couture,20222023,SJS,L,C,82,27,40,67,-30,19,0.82,21,46,5,20,1,1,2,4,198,13.6,19:08,47.4
Pavel Buchnevich,20222023,STL,L,L,63,26,41,67,14,36,1.06,18,44,8,21,0,2,0,2,123,21.1,19:27,29.9
Mats Zuccarello,20222023,MIN,L,R,78,22,45,67,-3,26,0.86,13,38,9,29,0,0,1,3,198,11.1,20:12,40
Brad Marchand,20222023,BOS,L,L,73,21,46,67,27,74,0.92,12,37,9,29,0,1,0,4,183,11.5,18:32,38.6
Timo Meier,20222023,"SJS,NJD",L,R,78,40,26,66,-19,43,0.85,23,43,17,23,0,0,1,5,327,12.2,19:23,36.8
Jack Eichel,20222023,VGK,R,C,67,27,39,66,26,6,0.99,25,51,2,14,0,1,1,2,223,12.1,18:46,45.3
Alex DeBrincat,20222023,OTT,R,R,82,27,39,66,-31,45,0.8,16,36,11,30,0,0,2,6,263,10.3,19:00,52.6
Nick Suzuki,20222023,MTL,R,C,82,26,40,66,-13,33,0.8,16,46,7,17,3,3,0,2,162,16.1,21:06,47.3
Cale Makar,20222023,COL,R,D,60,17,49,66,16,30,1.1,12,36,5,30,0,0,2,6,176,9.7,26:23,--
Dylan Strome,20222023,WSH,L,C,81,23,42,65,-4,24,0.8,20,44,3,21,0,0,0,2,154,14.9,16:41,48.8
Trevor Zegras,20222023,ANA,L,C,81,23,42,65,-24,88,0.8,19,48,4,17,0,0,2,3,184,12.5,18:50,41.4
Brayden Schenn,20222023,STL,L,C,82,21,44,65,-27,50,0.79,15,50,6,15,0,0,1,3,144,14.6,18:26,46.6
Robert Thomas,20222023,STL,R,C,73,18,47,65,-8,22,0.89,12,42,5,22,1,1,1,2,106,17,19:21,52.9
Chandler Stephenson,20222023,VGK,L,C,81,16,49,65,12,26,0.8,9,47,6,15,1,3,0,5,120,13.3,19:01,58.1
Brandon Hagel,20222023,TBL,L,L,81,30,34,64,23,54,0.79,22,48,7,13,1,3,0,3,178,16.9,18:39,28.4
Alex Killorn,20222023,TBL,L,L,82,27,37,64,18,45,0.78,23,50,3,12,1,2,2,5,143,18.9,17:13,50
Vincent Trocheck,20222023,NYR,R,C,82,22,42,64,3,58,0.78,13,47,9,17,0,0,0,3,225,9.8,19:19,56.1
Elias Lindholm,20222023,CGY,R,C,80,22,42,64,6,14,0.8,11,40,10,21,1,3,0,2,186,11.8,18:39,55.7
Vince Dunn,20222023,SEA,L,D,81,14,50,64,28,55,0.79,14,49,0,15,0,0,1,2,149,9.4,23:40,--
Mikhail Sergachev,20222023,TBL,L,D,79,10,54,64,13,53,0.81,7,36,3,27,0,1,0,2,156,6.4,23:49,--
Matt Boldy,20222023,MIN,L,L,81,31,32,63,1,39,0.78,23,37,8,26,0,0,1,5,255,12.2,18:30,54.6
Pierre-Luc Dubois,20222023,WPG,L,L,73,27,36,63,5,77,0.86,16,40,11,23,0,0,0,1,205,13.2,18:27,48.9
Tomas Hertl,20222023,SJS,L,C,79,22,41,63,-36,42,0.8,16,41,6,22,0,0,0,1,183,12,19:17,54.8
Jordan Eberle,20222023,SEA,R,R,82,20,43,63,6,34,0.77,17,48,3,15,0,0,1,4,177,11.3,16:41,44.2
Drake Batherson,20222023,OTT,R,R,82,22,40,62,-35,33,0.76,8,33,14,29,0,0,0,2,249,8.8,18:36,34.2
Travis Konecny,20222023,PHI,R,R,60,31,30,61,-12,77,1.02,23,40,5,15,3,6,0,5,191,16.2,20:07,46.7
Joel Eriksson Ek,20222023,MIN,L,C,78,23,38,61,4,44,0.78,9,35,12,23,2,3,0,1,247,9.3,19:00,49.4
Troy Terry,20222023,ANA,R,R,70,23,38,61,-8,22,0.87,18,49,5,12,0,0,1,3,188,12.2,19:22,100
Brent Burns,20222023,CAR,R,D,82,18,43,61,19,44,0.74,14,38,4,23,0,0,1,2,255,7.1,23:13,100
Rickard Rakell,20222023,PIT,R,R,82,28,32,60,-5,16,0.73,17,39,11,21,0,0,0,2,243,11.5,18:26,47.6
Viktor Arvidsson,20222023,LAK,R,R,77,26,33,59,-4,24,0.77,15,33,10,25,1,1,0,2,228,11.4,17:06,40.3
Roman Josi,20222023,NSH,L,D,67,18,41,59,5,36,0.88,10,35,8,24,0,0,1,5,269,6.7,25:10,--
Casey Mittelstadt,20222023,BUF,L,C,82,15,44,59,-8,22,0.72,10,42,4,16,1,1,1,2,135,11.1,15:44,45.9
Patrice Bergeron,20222023,BOS,R,C,78,27,31,58,35,22,0.74,16,37,9,19,2,2,0,7,249,10.8,17:24,61.1
Nick Schmaltz,20222023,ARI,R,C,63,22,36,58,4,20,0.92,16,45,6,12,0,1,0,2,132,16.7,19:43,40
