Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20222023,EDM,L,C,82,64,89,153,22,36,1.87,39,75,21,71,4,7,2,11,352,18.2,22:23,51.9
Leon Draisaitl,20222023,EDM,L,C,80,52,76,128,7,24,1.6,19,64,32,62,1,2,1,11,247,21.1,21:44,54.9
David Pastrnak,20222023,BOS,R,R,82,61,52,113,34,38,1.38,43,76,18,37,0,0,4,13,407,15,19:34,42.1
Nikita Kucherov,20222023,TBL,L,R,82,30,83,113,-2,36,1.38,22,63,8,50,0,0,0,4,271,11.1,20:08,100
Nathan MacKinnon,20222023,COL,R,C,71,42,69,111,29,30,1.56,30,77,12,34,0,0,2,9,366,11.5,22:19,44.4
Jason Robertson,20222023,DAL,L,L,82,46,63,109,37,20,1.33,33,68,13,41,0,0,1,7,313,14.7,18:50,0
Matthew Tkachuk,20222023,FLA,L,L,79,40,69,109,29,123,1.38,26,72,14,36,0,1,0,6,322,12.4,20:26,44.8
Mikko Rantanen,20222023,COL,L,R,82,55,50,105,15,82,1.28,42,68,13,37,0,0,3,9,306,18,22:13,49
Ryan Nugent-Hopkins,20222023,EDM,L,C,82,37,67,104,12,35,1.27,21,47,15,53,1,4,0,3,201,18.4,19:48,45.2
Elias Pettersson,20222023,VAN,L,C,80,39,63,102,16,14,1.28,28,68,6,25,5,9,3,6,257,15.2,20:33,44.3
Erik Karlsson,20222023,SJS,R,D,82,25,76,101,-26,36,1.23,20,74,5,27,0,0,2,4,209,12,25:37,0
Jack Hughes,20222023,NJD,L,C,78,43,56,99,10,6,1.27,34,68,9,31,0,0,1,6,336,12.8,19:58,35.3
Mitchell Marner,20222023,TOR,R,R,80,30,69,99,18,28,1.24,17,58,9,36,4,5,2,4,196,15.3,21:17,0
Brayden Point,20222023,TBL,R,C,82,51,44,95,2,7,1.16,31,65,20,30,0,0,1,9,235,21.7,19:40,50.7
Tage Thompson,20222023,BUF,R,C,78,47,47,94,4,39,1.21,26,59,20,34,1,1,1,7,295,15.9,18:35,43.1
