Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Pierre-Olivier Joseph,20222023,PIT,L,D,75,5,16,21,8,44,0.28,4,18,1,3,0,0,0,1,108,4.6,15:15,--
Jonas Siegenthaler,20222023,NJD,L,D,80,4,17,21,27,44,0.26,3,20,1,1,0,0,0,1,84,4.8,20:09,--
Rafael Harvey-Pinard,20222023,MTL,L,L,34,14,6,20,7,10,0.59,9,15,4,4,1,1,0,1,58,24.1,17:14,0
Derek Ryan,20222023,EDM,R,C,80,13,7,20,11,28,0.25,11,17,0,0,2,3,0,0,92,14.1,11:10,50
Ryan Lomberg,20222023,FLA,L,L,82,12,8,20,-1,88,0.24,12,20,0,0,0,0,0,1,134,9,11:19,50
Sean Kuraly,20222023,CBJ,L,C,71,11,9,20,-28,68,0.28,9,17,1,1,1,2,0,0,100,11,15:04,49.7
Radek Faksa,20222023,DAL,L,C,81,11,9,20,9,39,0.25,10,18,0,0,1,2,0,3,88,12.5,13:43,56
Trevor Lewis,20222023,CGY,R,C,82,9,11,20,-7,18,0.24,7,18,1,1,1,1,0,1,144,6.3,12:07,42.4
Joe Veleno,20222023,DET,L,C,81,9,11,20,-12,30,0.25,8,16,1,4,0,0,0,1,85,10.6,12:47,42.6
Adam Ruzicka,20222023,CGY,L,C,44,6,14,20,-1,8,0.45,4,14,2,6,0,0,0,2,64,9.4,11:35,47.7
Mikey Anderson,20222023,LAK,L,D,77,5,15,20,20,40,0.26,4,18,1,1,0,1,0,1,90,5.6,21:40,--
Nick Perbix,20222023,TBL,R,D,69,5,15,20,11,22,0.29,5,20,0,0,0,0,0,2,111,4.5,15:24,--
David Savard,20222023,MTL,R,D,62,3,17,20,-14,40,0.32,3,19,0,0,0,1,0,1,63,4.8,22:23,--
Brett Kulak,20222023,EDM,L,D,82,3,17,20,11,41,0.24,3,17,0,0,0,3,0,0,114,2.6,17:31,--
Rasmus Ristolainen,20222023,PHI,R,D,74,3,17,20,-4,32,0.27,1,12,1,5,1,3,0,0,86,3.5,19:01,--
