Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Will Borgen,20222023,SEA,R,D,82,3,17,20,11,47,0.24,3,20,0,0,0,0,0,1,76,4,16:22,--
Ryan McDonagh,20222023,NSH,L,D,71,2,18,20,12,22,0.28,2,20,0,0,0,0,0,1,78,2.6,21:32,--
Cam York,20222023,PHI,L,D,54,2,18,20,-1,18,0.37,2,16,0,3,0,1,0,0,42,4.8,19:39,--
Brock McGinn,20222023,"PIT,ANA",L,L,75,12,7,19,-6,21,0.25,10,17,0,0,2,2,0,3,91,13.2,13:02,28.6
Carl Grundstrom,20222023,LAK,L,R,57,12,7,19,-4,16,0.33,11,18,1,1,0,0,0,2,90,13.3,10:45,44.4
Andrew Cogliano,20222023,COL,L,C,79,10,9,19,6,44,0.24,10,17,0,0,0,2,0,0,85,11.8,12:37,47.1
Nick Bonino,20222023,"SJS,PIT",L,C,62,10,9,19,-5,28,0.31,10,18,0,1,0,0,0,0,91,11,15:55,48.2
Hudson Fasching,20222023,NYI,R,R,49,10,9,19,10,10,0.39,10,18,0,1,0,0,0,1,61,16.4,12:29,20
Steven Lorentz,20222023,SJS,L,C,80,10,9,19,-18,16,0.24,8,16,1,1,1,2,0,0,111,9,11:50,47.9
Alexey Toropchenko,20222023,STL,L,R,69,10,9,19,6,12,0.28,9,18,0,0,1,1,0,0,86,11.6,12:05,25
Max Jones,20222023,ANA,L,L,69,9,10,19,-21,77,0.28,9,19,0,0,0,0,0,2,107,8.4,12:43,45.5
Max Comtois,20222023,ANA,L,L,64,9,10,19,-20,76,0.3,9,17,0,2,0,0,0,0,89,10.1,13:49,52.3
Tyler Motte,20222023,"OTT,NYR",L,C,62,8,11,19,3,6,0.31,7,18,0,0,1,1,0,1,109,7.3,12:34,41.2
Milan Lucic,20222023,CGY,L,L,77,7,12,19,-13,43,0.25,7,19,0,0,0,0,0,0,73,9.6,11:18,43.6
Matt Martin,20222023,NYI,L,L,81,7,12,19,4,63,0.23,7,19,0,0,0,0,0,1,82,8.5,11:09,33.3
Nate Schmidt,20222023,WPG,L,D,71,7,12,19,15,8,0.27,4,14,3,5,0,0,0,0,101,6.9,18:28,--
Vladislav Gavrikov,20222023,"CBJ,LAK",L,D,72,6,13,19,4,38,0.26,5,17,0,0,1,2,2,2,89,6.7,21:58,--
Ben Chiarot,20222023,DET,L,D,76,5,14,19,-31,51,0.25,5,19,0,0,0,0,0,0,110,4.6,20:36,--
Jake Evans,20222023,MTL,R,C,54,2,17,19,-5,28,0.35,1,16,1,1,0,2,0,0,55,3.6,14:29,52
Paul Cotter,20222023,VGK,L,C,55,13,5,18,-5,15,0.33,13,18,0,0,0,0,0,1,76,17.1,12:50,45.8
Zemgus Girgensons,20222023,BUF,L,L,80,10,8,18,-5,14,0.23,10,17,0,1,0,0,0,0,114,8.8,12:59,45.4
Jake Walman,20222023,DET,L,D,63,9,9,18,10,45,0.29,9,16,0,2,0,0,1,2,140,6.4,19:43,--
Adam Erne,20222023,DET,L,L,61,8,10,18,-12,21,0.3,8,17,0,0,0,1,0,2,55,14.6,13:23,46.2
Keegan Kolesar,20222023,VGK,R,R,74,8,10,18,6,68,0.24,8,18,0,0,0,0,0,0,63,12.7,11:28,33.3
Calle Rosen,20222023,STL,L,D,49,8,10,18,19,8,0.37,8,18,0,0,0,0,0,2,62,12.9,15:36,--
Tomas Nosek,20222023,BOS,L,L,66,7,11,18,9,48,0.27,5,16,0,0,2,2,0,1,69,10.1,12:33,59.3
Tanner Jeannot,20222023,"NSH,TBL",L,L,76,6,12,18,-7,107,0.24,6,17,0,0,0,1,0,1,107,5.6,14:15,43.5
Timothy Liljegren,20222023,TOR,R,D,67,6,12,18,24,30,0.27,5,15,0,1,1,2,0,0,84,7.1,17:55,--
Connor Dewar,20222023,MIN,L,C,81,6,12,18,-5,50,0.22,3,14,0,0,3,4,0,0,87,6.9,10:58,44.1
Derek Grant,20222023,ANA,L,C,46,5,13,18,-4,26,0.39,5,16,0,2,0,0,0,0,72,6.9,14:51,55.2
Philip Tomasino,20222023,NSH,R,C,31,5,13,18,5,6,0.58,1,12,4,6,0,0,0,0,54,9.3,15:36,55.6
Braden Schneider,20222023,NYR,R,D,81,5,13,18,9,16,0.22,5,18,0,0,0,0,0,1,79,6.3,15:43,--
John Marino,20222023,NJD,R,D,64,4,14,18,21,20,0.28,4,17,0,0,0,1,0,0,67,6,21:04,--
Kaiden Guhle,20222023,MTL,L,D,44,4,14,18,-19,27,0.41,4,18,0,0,0,0,0,0,48,8.3,20:31,--
Mathieu Joseph,20222023,OTT,L,R,56,3,15,18,5,36,0.32,0,12,1,3,2,3,0,0,66,4.6,14:01,33.3
Justin Holl,20222023,TOR,R,D,80,2,16,18,15,39,0.23,2,18,0,0,0,0,0,1,60,3.3,20:14,--
Erik Brannstrom,20222023,OTT,L,D,74,2,16,18,5,38,0.24,2,17,0,1,0,0,0,0,74,2.7,16:07,--
Marc-Edouard Vlasic,20222023,SJS,L,D,78,1,17,18,-14,16,0.23,1,18,0,0,0,0,0,0,67,1.5,17:28,--
Ryan Lindgren,20222023,NYR,L,D,63,1,17,18,29,45,0.29,0,16,0,0,1,2,0,0,75,1.3,18:50,--
Sheldon Dries,20222023,VAN,L,C,63,11,6,17,-9,29,0.27,6,11,4,5,1,1,0,0,94,11.7,11:32,49.9
Noah Gregor,20222023,SJS,L,C,57,10,7,17,-9,32,0.3,10,16,0,0,0,1,0,1,119,8.4,12:58,30.4
Denis Gurianov,20222023,"DAL,MTL",L,R,66,7,10,17,-9,10,0.26,6,14,1,3,0,0,0,0,116,6,13:12,0
Mason Shaw,20222023,MIN,L,C,59,7,10,17,-1,79,0.29,7,15,0,0,0,2,0,0,92,7.6,11:17,53.6
Sean Monahan,20222023,MTL,L,C,25,6,11,17,-5,16,0.68,5,13,1,4,0,0,0,0,55,10.9,17:22,55.1
Jordan Harris,20222023,MTL,L,D,65,4,13,17,-3,26,0.26,4,16,0,1,0,0,0,0,70,5.7,18:39,--
Cole Smith,20222023,NSH,L,L,69,4,13,17,-3,60,0.25,4,15,0,0,0,2,0,1,64,6.3,12:45,0
Ian Cole,20222023,TBL,L,D,78,3,14,17,13,61,0.22,3,17,0,0,0,0,0,0,109,2.8,19:23,--
Nicolas Hague,20222023,VGK,L,D,81,3,14,17,7,51,0.21,3,17,0,0,0,0,1,1,103,2.9,18:05,--
Radko Gudas,20222023,FLA,R,D,72,2,15,17,14,79,0.24,2,17,0,0,0,0,0,0,110,1.8,17:22,--
Tyler Myers,20222023,VAN,R,D,78,1,16,17,-16,76,0.22,1,16,0,0,0,1,0,0,100,1,20:54,--
Brayden McNabb,20222023,VGK,L,D,82,1,16,17,17,51,0.21,1,15,0,0,0,2,0,0,89,1.1,19:51,--
Jakub Vrana,20222023,"DET,STL",L,L,25,11,5,16,3,10,0.64,7,12,4,4,0,0,1,2,63,17.5,14:33,28.6
Craig Smith,20222023,"BOS,WSH",R,C,64,9,7,16,5,18,0.25,9,15,0,1,0,0,0,2,104,8.7,11:00,22.2
Tyler Pitlick,20222023,STL,R,C,61,7,9,16,-1,14,0.26,7,16,0,0,0,0,0,0,54,13,10:05,50
Robby Fabbri,20222023,DET,L,C,28,7,9,16,-1,22,0.57,4,8,3,8,0,0,1,3,35,20,16:00,38.5
Oliver Wahlstrom,20222023,NYI,R,R,35,7,9,16,5,32,0.46,6,15,1,1,0,0,0,1,70,10,12:10,35
Jani Hakanpää,20222023,DAL,R,D,82,6,10,16,18,60,0.2,6,16,0,0,0,0,0,1,86,7,19:20,--
Martin Fehervary,20222023,WSH,L,D,67,6,10,16,-11,31,0.24,6,16,0,0,0,0,0,1,91,6.6,20:00,--
Nils Lundkvist,20222023,DAL,R,D,60,6,10,16,-5,26,0.27,5,13,1,3,0,0,1,2,94,6.4,16:19,--
Jesse Ylonen,20222023,MTL,R,R,37,6,10,16,-11,0,0.43,5,15,1,1,0,0,0,1,43,14,13:27,50
Mason Appleton,20222023,WPG,R,C,41,5,11,16,2,8,0.39,4,15,1,1,0,0,0,0,71,7,16:01,20
Jesse Puljujarvi,20222023,"EDM,CAR",R,R,75,5,11,16,-13,32,0.21,5,16,0,0,0,0,0,1,125,4,12:14,0
Boris Katchouk,20222023,CHI,L,L,58,5,11,16,-10,27,0.28,5,15,0,0,0,1,0,2,68,7.4,12:05,20
Josh Leivo,20222023,STL,R,L,51,4,12,16,0,25,0.31,4,16,0,0,0,0,0,0,91,4.4,11:53,42.9
Teddy Blueger,20222023,"PIT,VGK",L,C,63,4,12,16,-9,30,0.25,4,15,0,0,0,1,0,1,85,4.7,12:55,52
Caleb Jones,20222023,CHI,L,D,73,4,12,16,-19,40,0.22,3,12,1,4,0,0,1,1,86,4.7,19:13,--
Josh Mahura,20222023,FLA,L,D,82,4,12,16,17,48,0.2,4,16,0,0,0,0,0,1,78,5.1,14:02,--
Nils Aman,20222023,VAN,L,C,68,4,12,16,-12,18,0.24,4,14,0,0,0,2,0,1,50,8,12:42,38.2
Dmitry Kulikov,20222023,"ANA,PIT",L,D,67,3,13,16,-13,34,0.24,3,16,0,0,0,0,0,0,84,3.6,19:28,--
Carson Soucy,20222023,SEA,L,D,78,3,13,16,18,68,0.21,3,15,0,0,0,1,0,0,87,3.5,16:18,--
Brandon Carlo,20222023,BOS,R,D,75,3,13,16,44,38,0.21,3,14,0,0,0,2,0,0,94,3.2,18:50,--
Ethan Bear,20222023,VAN,R,D,61,3,13,16,6,25,0.26,3,15,0,0,0,1,0,1,75,4,18:32,--
Nick Holden,20222023,OTT,L,D,65,2,14,16,0,10,0.25,2,15,0,0,0,1,0,0,73,2.7,16:42,--
Erik Cernak,20222023,TBL,R,D,70,2,14,16,8,53,0.23,1,14,0,0,1,2,0,0,87,2.3,19:14,--
Wade Allison,20222023,PHI,R,R,60,9,6,15,-3,36,0.25,9,15,0,0,0,0,0,2,89,10.1,12:54,16.7
Colin White,20222023,FLA,R,C,68,8,7,15,0,12,0.22,8,15,0,0,0,0,0,0,64,12.5,9:38,43.1
Michael Pezzetta,20222023,MTL,L,L,63,7,8,15,-4,77,0.24,7,14,0,1,0,0,0,0,70,10,9:19,40
Lukas Reichel,20222023,CHI,L,L,23,7,8,15,-8,6,0.65,7,12,0,3,0,0,0,0,42,16.7,16:22,38.5
Luke Evangelista,20222023,NSH,R,R,24,7,8,15,7,6,0.63,7,13,0,2,0,0,0,1,54,13,16:34,--
Oskar Lindblom,20222023,SJS,L,L,73,6,9,15,-16,18,0.21,6,14,0,1,0,0,0,0,75,8,10:34,47.4
Nathan Bastian,20222023,NJD,R,R,43,6,9,15,7,31,0.35,6,15,0,0,0,0,0,1,62,9.7,12:26,29.7
Rem Pitlick,20222023,MTL,L,C,46,6,9,15,-15,22,0.33,5,13,1,1,0,1,1,1,30,20,12:55,43.1
Dylan Guenther,20222023,ARI,R,R,33,6,9,15,-7,10,0.45,2,9,4,6,0,0,0,1,53,11.3,13:07,50
Ryan Reaves,20222023,"NYR,MIN",R,R,73,5,10,15,-6,43,0.21,5,15,0,0,0,0,0,0,48,10.4,9:19,26.7
Michael Eyssimont,20222023,"WPG,SJS,TBL",L,C,54,5,10,15,3,63,0.28,5,15,0,0,0,0,0,0,124,4,12:15,35.3
