Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nick DeSimone,20222023,CGY,R,D,4,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,4,0,11:15,--
Marián Studenič,20222023,DAL,L,L,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,8:41,--
Arnaud Durandeau,20222023,NYI,L,L,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,0,13:00,0
Nick Swaney,20222023,MIN,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:33,--
Austin Strand,20222023,ANA,R,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,5,0,12:24,--
James Hamblin,20222023,EDM,L,L,10,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,12,0,8:52,64.3
Sheldon Rempal,20222023,VGK,R,R,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,7:44,--
Filip Kral,20222023,TOR,L,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9:58,--
Alec Regula,20222023,CHI,R,D,4,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,2,0,16:36,--
Jonathan Gruden,20222023,PIT,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:20,35.7
Filip Hallander,20222023,PIT,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:58,--
Sampo Ranta,20222023,COL,L,L,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,7:21,0
Gabriel Fortier,20222023,TBL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:25,--
Benoit-Olivier Groulx,20222023,ANA,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16:21,45
Adam Ginning,20222023,PHI,L,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,16:40,--
Jan Jenik,20222023,ARI,L,R,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,--,5:55,20
Semyon Der-Arguchintsev,20222023,TOR,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,7:16,--
Nathan Smith,20222023,ARI,R,C,4,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,2,0,7:27,45
Hugh McGing,20222023,STL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:37,--
Taro Hirose,20222023,DET,L,L,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,10:20,100
Ronnie Attard,20222023,PHI,R,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16:45,--
Alex Turcotte,20222023,LAK,L,C,4,0,0,0,-2,5,0,0,0,0,0,0,0,0,0,2,0,6:59,42.9
Adam Beckman,20222023,MIN,L,L,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,12,0,10:41,0
Lassi Thomson,20222023,OTT,R,D,2,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,1,0,10:54,--
