Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Radim Zohorna,20222023,"CGY,TOR",L,L,10,1,0,1,-1,0,0.1,1,1,0,0,0,0,0,0,9,11.1,8:35,51.2
Lucas Condotta,20222023,MTL,L,C,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,5,20,11:02,57.1
Milos Kelemen,20222023,ARI,L,L,14,1,0,1,-5,23,0.07,1,1,0,0,0,0,0,0,12,8.3,7:41,33.3
Cole McWard,20222023,VAN,R,D,5,1,0,1,0,0,0.2,1,1,0,0,0,0,0,0,6,16.7,14:13,--
Jake Muzzin,20222023,TOR,L,D,4,0,1,1,0,2,0.25,0,1,0,0,0,0,0,0,8,0,16:43,--
Kyle Clifford,20222023,TOR,L,L,2,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,2,0,7:55,--
Dylan McIlrath,20222023,WSH,R,D,6,0,1,1,-6,7,0.17,0,1,0,0,0,0,0,0,1,0,11:41,--
Kevin Gravel,20222023,NSH,L,D,23,0,1,1,-10,4,0.04,0,1,0,0,0,0,0,0,20,0,14:16,--
Andy Andreoff,20222023,NYI,L,C,3,0,1,1,-3,0,0.33,0,1,0,0,0,0,0,0,1,0,7:21,42.9
Mike Reilly,20222023,BOS,L,D,10,0,1,1,0,2,0.1,0,1,0,0,0,0,0,0,12,0,16:44,--
Brendan Gaunce,20222023,CBJ,L,C,5,0,1,1,-1,2,0.2,0,1,0,0,0,0,0,0,9,0,10:28,58.9
Connor Carrick,20222023,BOS,R,D,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,2,0,16:54,--
Dominic Toninato,20222023,WPG,L,C,5,0,1,1,0,2,0.2,0,1,0,0,0,0,0,0,7,0,7:56,50
Tucker Poolman,20222023,VAN,R,D,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,3,0,13:58,--
Steven Santini,20222023,STL,R,D,4,0,1,1,0,2,0.25,0,1,0,0,0,0,0,0,5,0,12:31,--
Haydn Fleury,20222023,TBL,L,D,29,0,1,1,-10,14,0.03,0,1,0,0,0,0,0,0,33,0,12:48,--
Luke Philp,20222023,CHI,R,C,3,0,1,1,0,2,0.33,0,1,0,0,0,0,0,0,0,--,11:41,25
Parker Wotherspoon,20222023,NYI,L,D,12,0,1,1,5,4,0.08,0,1,0,0,0,0,0,0,10,0,13:20,--
Kevin Rooney,20222023,CGY,L,C,17,0,1,1,-2,7,0.06,0,1,0,0,0,0,0,0,14,0,8:52,41.9
William Lockwood,20222023,VAN,R,R,13,0,1,1,-7,0,0.08,0,1,0,0,0,0,0,0,12,0,10:17,--
William Bitten,20222023,STL,R,C,4,0,1,1,1,0,0.25,0,1,0,0,0,0,0,0,0,--,6:39,--
Joona Koppanen,20222023,BOS,L,L,5,0,1,1,0,4,0.2,0,1,0,0,0,0,0,0,2,0,10:50,56.8
Cale Fleury,20222023,SEA,R,D,12,0,1,1,0,2,0.08,0,1,0,0,0,0,0,0,10,0,13:19,--
Jonas Rondbjerg,20222023,VGK,L,R,13,0,1,1,-5,4,0.08,0,1,0,0,0,0,0,0,15,0,10:10,33.3
Joel Teasdale,20222023,MTL,L,L,2,0,1,1,-2,0,0.5,0,1,0,0,0,0,0,0,1,0,10:52,0
Olle Lycksell,20222023,PHI,L,R,8,0,1,1,-3,8,0.13,0,1,0,0,0,0,0,0,5,0,10:34,--
Carson Meyer,20222023,CBJ,R,R,14,0,1,1,-2,6,0.07,0,1,0,0,0,0,0,0,17,0,9:43,--
Kristian Reichel,20222023,WPG,R,C,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,1,0,10:34,--
Jacob Bernard-Docker,20222023,OTT,R,D,19,0,1,1,-2,11,0.05,0,1,0,0,0,0,0,0,22,0,16:01,--
Damien Giroux,20222023,MIN,L,C,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,--,13:57,40
