Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Evander Kane,20222023,EDM,L,L,41,16,12,28,-4,53,0.68,15,24,0,2,1,2,0,3,146,11,18:42,35.3
Jonatan Berggren,20222023,DET,L,R,67,15,13,28,-14,16,0.42,10,19,5,9,0,0,0,0,98,15.3,13:28,50
Warren Foegele,20222023,EDM,L,L,67,13,15,28,7,28,0.42,12,27,0,0,1,1,0,4,126,10.3,12:42,53.9
Arthur Kaliyev,20222023,LAK,L,R,56,13,15,28,-5,12,0.5,5,16,8,12,0,0,0,1,122,10.7,11:41,--
Ilya Mikheyev,20222023,VAN,L,R,46,13,15,28,3,2,0.61,12,25,1,3,0,0,0,2,91,14.3,16:55,20
Ryan Johansen,20222023,NSH,R,C,55,12,16,28,-13,32,0.51,7,18,5,10,0,0,1,1,86,14,15:46,59.2
Kyle Okposo,20222023,BUF,R,R,75,11,17,28,-7,34,0.37,9,23,1,4,1,1,0,3,150,7.3,14:40,46.9
Oskar Sundqvist,20222023,"DET,MIN",R,C,67,10,18,28,-4,28,0.42,7,20,3,8,0,0,0,0,69,14.5,13:52,42.9
Christian Dvorak,20222023,MTL,L,C,64,10,18,28,-12,6,0.44,9,24,0,3,1,1,0,1,88,11.4,16:52,52
Sam Steel,20222023,MIN,L,C,65,10,18,28,11,18,0.43,9,24,0,3,1,1,0,2,85,11.8,14:58,48.7
Morgan Geekie,20222023,SEA,R,C,69,9,19,28,14,24,0.41,8,27,1,1,0,0,0,3,81,11.1,10:27,49.2
Ty Dellandrea,20222023,DAL,R,C,82,9,19,28,9,54,0.34,9,25,0,0,0,3,0,2,92,9.8,14:12,50.8
Michael Amadio,20222023,VGK,R,R,67,16,11,27,2,12,0.4,15,25,1,2,0,0,0,2,99,16.2,12:13,49.2
Ryan Donato,20222023,SEA,L,C,71,14,13,27,16,46,0.38,14,25,0,2,0,0,0,0,122,11.5,11:15,42.2
Miles Wood,20222023,NJD,L,L,76,13,14,27,1,76,0.36,11,24,2,3,0,0,0,2,167,7.8,12:06,16.7
Christian Fischer,20222023,ARI,R,R,80,13,14,27,-7,20,0.34,12,25,0,1,1,1,0,0,122,10.7,14:51,18.4
Sam Lafferty,20222023,"CHI,TOR",R,C,70,12,15,27,-11,37,0.39,8,22,0,0,4,5,0,1,102,11.8,14:37,51.1
Gustav Nyquist,20222023,"CBJ,MIN",L,C,51,11,16,27,-9,16,0.53,9,24,0,1,2,2,0,2,102,10.8,17:37,43.8
Anthony Mantha,20222023,WSH,L,R,67,11,16,27,-8,31,0.4,10,25,1,2,0,0,0,2,119,9.2,14:13,52.9
Nick Cousins,20222023,FLA,L,C,79,9,18,27,-1,38,0.34,9,27,0,0,0,0,0,2,102,8.8,11:02,49.3
Jaccob Slavin,20222023,CAR,L,D,76,7,20,27,18,8,0.36,7,26,0,0,0,1,1,1,131,5.3,22:00,--
David Kampf,20222023,TOR,L,C,82,7,20,27,6,8,0.33,7,24,0,0,0,3,0,1,107,6.5,15:18,51.5
Dylan DeMelo,20222023,WPG,R,D,75,6,21,27,10,50,0.36,5,24,0,0,1,3,0,1,93,6.5,19:34,--
Ivan Provorov,20222023,PHI,L,D,82,6,21,27,-17,24,0.33,6,23,0,2,0,2,1,1,115,5.2,23:01,--
Kevin Shattenkirk,20222023,ANA,R,D,75,4,23,27,-20,56,0.36,3,19,1,8,0,0,0,0,145,2.8,19:18,--
Colton Parayko,20222023,STL,R,D,79,4,23,27,-19,30,0.34,4,24,0,2,0,1,0,1,133,3,23:00,--
Nico Sturm,20222023,SJS,L,C,74,14,12,26,-13,23,0.35,13,25,0,0,1,1,0,1,119,11.8,14:44,55.8
Nick Ritchie,20222023,"ARI,CGY",L,L,74,13,13,26,-21,53,0.35,9,16,4,10,0,0,0,2,120,10.8,13:33,16.7
Jack McBain,20222023,ARI,L,C,82,12,14,26,-8,64,0.32,12,26,0,0,0,0,0,2,85,14.1,13:59,44.1
Nick Foligno,20222023,BOS,L,L,60,10,16,26,18,45,0.43,8,21,2,5,0,0,0,1,71,14.1,12:22,55.6
Jakob Silfverberg,20222023,ANA,R,R,81,10,16,26,-20,32,0.32,6,19,4,7,0,0,0,2,141,7.1,15:11,34.6
Matt Roy,20222023,LAK,R,D,82,9,17,26,8,22,0.32,8,24,0,0,1,2,0,2,135,6.7,18:47,--
Logan O'Connor,20222023,COL,R,R,82,9,17,26,11,37,0.32,7,23,0,0,2,3,0,0,104,8.7,14:12,16.7
Peyton Krebs,20222023,BUF,L,C,74,9,17,26,-8,50,0.35,7,22,1,3,1,1,0,0,78,11.5,13:50,45.1
Ryan Graves,20222023,NJD,L,D,78,8,18,26,34,28,0.33,8,24,0,0,0,2,0,2,141,5.7,19:57,--
Ryan Pulock,20222023,NYI,R,D,82,5,21,26,10,14,0.32,4,21,1,5,0,0,0,1,126,4,20:54,--
Matt Grzelcyk,20222023,BOS,L,D,75,4,22,26,46,28,0.35,4,26,0,0,0,0,0,2,102,3.9,17:14,--
Michael McLeod,20222023,NJD,R,C,80,4,22,26,6,43,0.33,4,25,0,0,0,1,0,1,90,4.4,12:15,60.6
Kirill Marchenko,20222023,CBJ,R,R,59,21,4,25,-23,16,0.42,14,17,7,8,0,0,1,1,131,16,16:11,56.3
William Carrier,20222023,VGK,L,L,56,16,9,25,15,30,0.45,16,25,0,0,0,0,0,7,118,13.6,12:35,12.5
Nic Dowd,20222023,WSH,R,C,65,13,12,25,6,26,0.38,13,24,0,0,0,1,0,3,62,21,13:21,50.8
Corey Perry,20222023,TBL,R,R,81,12,13,25,-28,95,0.31,6,13,6,12,0,0,0,3,116,10.3,11:34,--
Jimmy Vesey,20222023,NYR,L,L,81,11,14,25,13,20,0.31,10,24,0,0,1,1,0,4,123,8.9,13:37,22.2
Mattias Janmark,20222023,EDM,L,C,66,10,15,25,9,30,0.38,7,21,0,0,3,4,0,1,79,12.7,14:40,44.1
Kailer Yamamoto,20222023,EDM,R,R,58,10,15,25,12,24,0.43,9,23,0,0,1,2,0,3,97,10.3,16:35,46.2
Jamie Oleksiak,20222023,SEA,L,D,75,9,16,25,13,72,0.33,9,25,0,0,0,0,0,2,76,11.8,19:15,--
Sammy Blais,20222023,"NYR,STL",L,L,71,9,16,25,4,30,0.35,9,24,0,1,0,0,0,1,70,12.9,11:48,28.6
Philipp Kurashev,20222023,CHI,L,C,70,9,16,25,-32,14,0.36,9,21,0,4,0,0,0,2,116,7.8,17:25,44.7
Josh Bailey,20222023,NYI,L,R,64,8,17,25,3,2,0.39,8,22,0,3,0,0,0,2,72,11.1,15:08,41.7
Vladislav Namestnikov,20222023,"TBL,WPG",L,C,77,8,17,25,5,35,0.32,7,22,1,3,0,0,0,0,108,7.4,12:37,37.6
Tyson Jost,20222023,"MIN,BUF",L,C,71,7,18,25,-13,34,0.35,7,25,0,0,0,0,0,0,98,7.1,13:15,38.8
Juuso Parssinen,20222023,NSH,L,C,45,6,19,25,-1,15,0.56,5,17,1,8,0,0,1,3,49,12.2,14:20,50.2
Ryan Suter,20222023,DAL,L,D,82,3,22,25,0,26,0.3,3,20,0,4,0,1,0,1,92,3.3,20:23,--
Jake McCabe,20222023,"CHI,TOR",L,D,76,3,22,25,19,56,0.33,3,25,0,0,0,0,0,1,96,3.1,19:29,--
Brian Dumoulin,20222023,PIT,L,D,82,1,24,25,-4,16,0.3,1,23,0,0,0,2,0,0,82,1.2,20:38,--
Pius Suter,20222023,DET,L,C,79,14,10,24,-3,6,0.3,12,22,0,0,2,2,0,1,106,13.2,14:04,46.8
Matt Nieto,20222023,"SJS,COL",L,L,81,12,12,24,-15,16,0.3,12,23,0,1,0,0,0,2,115,10.4,13:31,50
Yakov Trenin,20222023,NSH,L,C,77,12,12,24,-7,47,0.31,10,20,0,2,2,2,0,2,140,8.6,15:09,38.9
Eric Robinson,20222023,CBJ,L,L,72,12,12,24,-21,6,0.33,12,22,0,0,0,2,0,1,98,12.2,13:57,20
Bowen Byram,20222023,COL,L,D,42,10,14,24,7,38,0.57,7,17,2,6,1,1,0,1,65,15.4,21:53,--
Esa Lindell,20222023,DAL,L,D,82,8,16,24,29,10,0.29,8,22,0,0,0,2,0,2,116,6.9,19:55,--
Scott Mayfield,20222023,NYI,R,D,82,6,18,24,8,83,0.29,6,24,0,0,0,0,0,1,119,5,21:02,--
