Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Adam Boqvist,20222023,CBJ,R,D,46,5,19,24,-12,8,0.52,5,15,0,9,0,0,0,1,68,7.4,18:38,--
Mark Giordano,20222023,TOR,L,D,78,4,20,24,27,53,0.31,3,23,0,0,1,1,0,1,107,3.7,18:57,--
Matt Benning,20222023,SJS,R,D,77,1,23,24,-18,26,0.31,1,22,0,1,0,1,0,0,58,1.7,19:47,--
Marcus Pettersson,20222023,PIT,L,D,68,1,23,24,4,58,0.35,1,24,0,0,0,0,0,0,96,1,20:35,--
Noel Acciari,20222023,"STL,TOR",R,C,77,14,9,23,-4,21,0.3,14,21,0,0,0,2,0,2,102,13.7,14:19,53.8
Derick Brassard,20222023,OTT,L,C,62,13,10,23,3,30,0.37,8,13,5,10,0,0,0,4,92,14.1,12:11,50
Dakota Joshua,20222023,VAN,L,C,79,11,12,23,-16,60,0.29,9,21,1,1,1,1,0,2,71,15.5,11:31,53.5
Ryan McLeod,20222023,EDM,L,C,57,11,12,23,4,18,0.4,9,20,0,0,2,3,0,0,78,14.1,14:11,48.2
Lars Eller,20222023,"WSH,COL",L,C,84,10,13,23,3,46,0.27,9,22,0,0,1,1,0,1,140,7.1,14:48,53.7
Ondrej Palat,20222023,NJD,L,L,49,8,15,23,5,6,0.47,7,20,1,3,0,0,0,1,79,10.1,15:32,0
Trevor van Riemsdyk,20222023,WSH,R,D,75,7,16,23,10,15,0.31,7,22,0,1,0,0,0,0,97,7.2,19:04,--
Travis Sanheim,20222023,PHI,L,D,81,7,16,23,-5,40,0.28,6,21,0,1,1,1,0,1,111,6.3,20:24,--
Olli Maatta,20222023,DET,L,D,78,6,17,23,-9,14,0.29,6,23,0,0,0,0,0,0,62,9.7,18:42,--
Fabian Zetterlund,20222023,"NJD,SJS",R,L,67,6,17,23,-6,14,0.34,5,20,1,3,0,0,1,1,118,5.1,13:15,41.2
Connor Clifton,20222023,BOS,R,D,78,5,18,23,20,60,0.29,4,22,0,0,1,1,0,0,93,5.4,17:51,--
Sebastian Aho,20222023,NYI,L,D,71,5,18,23,9,22,0.32,5,21,0,2,0,0,0,0,89,5.6,16:46,--
Nick Leddy,20222023,STL,L,D,78,2,21,23,4,20,0.29,2,23,0,0,0,0,0,1,79,2.5,21:07,--
Brenden Dillon,20222023,WPG,L,D,82,2,21,23,2,76,0.28,2,22,0,0,0,1,0,0,83,2.4,19:35,--
Tom Wilson,20222023,WSH,R,R,33,13,9,22,-13,78,0.67,9,17,4,5,0,0,1,1,82,15.9,17:37,33.3
Garnet Hathaway,20222023,"WSH,BOS",R,R,84,13,9,22,5,69,0.26,13,21,0,0,0,1,0,3,88,14.8,11:48,23.1
Paul Stastny,20222023,CAR,L,C,73,9,13,22,4,16,0.3,7,18,2,4,0,0,0,3,80,11.3,11:52,57.6
Danton Heinen,20222023,PIT,L,L,65,8,14,22,-5,12,0.34,7,20,1,2,0,0,0,0,96,8.3,10:45,40
Emil Bemstrom,20222023,CBJ,R,R,55,7,15,22,-11,6,0.4,4,16,3,6,0,0,0,0,95,7.4,12:07,41.2
Luke Schenn,20222023,"VAN,TOR",R,D,70,4,18,22,8,84,0.31,4,20,0,0,0,2,0,0,81,4.9,16:21,--
Quinton Byfield,20222023,LAK,L,C,53,3,19,22,13,30,0.42,2,21,1,1,0,0,0,0,74,4.1,14:04,47.2
Oliver Ekman-Larsson,20222023,VAN,L,D,54,2,20,22,-24,22,0.41,2,17,0,4,0,1,0,0,90,2.2,20:11,--
Alexander Romanov,20222023,NYI,L,D,76,2,20,22,13,43,0.29,2,21,0,0,0,1,0,0,100,2,19:27,--
Nikita Zadorov,20222023,CGY,L,D,82,14,7,21,10,80,0.26,14,20,0,1,0,0,0,2,130,10.8,18:41,--
Denis Malgin,20222023,"TOR,COL",R,C,65,13,8,21,4,8,0.32,13,20,0,1,0,0,0,1,112,11.6,10:55,40
Klim Kostin,20222023,EDM,L,C,57,11,10,21,12,66,0.37,11,21,0,0,0,0,0,2,56,19.6,10:04,40
Jesper Boqvist,20222023,NJD,L,C,70,10,11,21,8,2,0.3,10,21,0,0,0,0,0,2,67,14.9,11:36,33.2
Morgan Barron,20222023,WPG,L,C,70,8,13,21,4,31,0.3,7,17,0,1,1,3,0,2,112,7.1,13:15,44.8
Nicklas Backstrom,20222023,WSH,L,C,39,7,14,21,-25,14,0.54,1,10,6,11,0,0,0,0,59,11.9,16:53,50.4
Marcus Foligno,20222023,MIN,L,L,65,7,14,21,-6,97,0.32,7,18,0,3,0,0,0,0,83,8.4,14:59,50
Travis Hamonic,20222023,OTT,R,D,75,6,15,21,-5,71,0.28,6,17,0,1,0,3,0,1,136,4.4,18:34,--
Casey Cizikas,20222023,NYI,L,C,81,6,15,21,0,54,0.26,6,19,0,0,0,2,0,0,111,5.4,14:32,53.4
Colin Miller,20222023,DAL,R,D,79,6,15,21,23,37,0.27,5,20,1,1,0,0,0,3,106,5.7,16:46,--
Adam Pelech,20222023,NYI,L,D,61,6,15,21,15,36,0.34,6,20,0,0,0,1,0,0,97,6.2,21:39,--
