Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jan Rutta,20222023,PIT,R,D,56,3,6,9,3,30,0.16,3,9,0,0,0,0,0,0,64,4.7,17:07,--
Nils Hoglander,20222023,VAN,L,L,25,3,6,9,-4,6,0.36,3,9,0,0,0,0,0,0,29,10.3,12:03,50
Dylan Holloway,20222023,EDM,L,L,51,3,6,9,0,27,0.18,3,9,0,0,0,0,0,1,44,6.8,9:35,35.5
Anthony Duclair,20222023,FLA,L,L,20,2,7,9,4,2,0.45,2,9,0,0,0,0,0,0,43,4.7,14:51,--
Brendan Lemieux,20222023,"LAK,PHI",L,L,45,2,7,9,-3,74,0.2,2,9,0,0,0,0,0,0,44,4.6,10:11,50
Alexandre Carrier,20222023,NSH,R,D,43,2,7,9,0,27,0.21,2,9,0,0,0,0,1,1,48,4.2,17:53,--
Ridly Greig,20222023,OTT,L,C,20,2,7,9,1,12,0.45,2,6,0,3,0,0,0,0,30,6.7,12:54,39.5
Devin Shore,20222023,EDM,L,C,47,1,8,9,6,4,0.19,1,9,0,0,0,0,0,0,33,3,8:58,50.9
Jacob Bryson,20222023,BUF,L,D,59,1,8,9,-24,8,0.15,1,8,0,0,0,1,0,0,27,3.7,14:35,--
Victor Soderstrom,20222023,ARI,R,D,30,0,9,9,-3,24,0.3,0,6,0,3,0,0,0,0,31,0,16:10,--
Elmer Soderblom,20222023,DET,L,L,21,5,3,8,0,8,0.38,5,8,0,0,0,0,0,2,30,16.7,12:04,25
Jack Studnicka,20222023,"BOS,VAN",R,C,48,4,4,8,-12,16,0.17,4,8,0,0,0,0,0,1,65,6.2,10:36,47.8
Martin Kaut,20222023,"COL,SJS",R,R,36,4,4,8,-4,4,0.22,3,7,1,1,0,0,0,1,44,9.1,10:24,33.3
Vitali Kravtsov,20222023,"NYR,VAN",L,R,44,4,4,8,3,10,0.18,3,5,1,3,0,0,0,0,43,9.3,11:12,0
Lukas Sedlak,20222023,"COL,PHI",L,C,30,3,5,8,4,12,0.27,3,7,0,0,0,1,0,0,44,6.8,12:12,46.3
Ben Hutton,20222023,VGK,L,D,31,3,5,8,1,6,0.26,3,7,0,1,0,0,0,0,52,5.8,16:00,--
Zach Werenski,20222023,CBJ,L,D,13,3,5,8,-6,0,0.62,3,6,0,2,0,0,0,0,41,7.3,23:36,--
Jack Johnson,20222023,"CHI,COL",L,D,83,2,6,8,-15,28,0.1,2,6,0,0,0,2,0,0,92,2.2,19:09,0
Jarred Tinordi,20222023,CHI,L,D,44,2,6,8,-17,40,0.18,2,8,0,0,0,0,0,1,32,6.3,16:27,--
Jayson Megna,20222023,"COL,ANA",R,C,55,2,6,8,-21,6,0.15,2,8,0,0,0,0,0,0,36,5.6,10:00,52.3
Anders Bjork,20222023,"BUF,CHI",L,L,14,2,6,8,4,2,0.57,2,8,0,0,0,0,0,0,15,13.3,13:50,0
Rasmus Asplund,20222023,"BUF,NSH",L,C,46,2,6,8,-6,4,0.17,1,7,0,0,1,1,0,0,54,3.7,10:58,40
Dylan Samberg,20222023,WPG,L,D,63,2,6,8,10,25,0.13,2,7,0,0,0,1,0,0,49,4.1,14:56,--
Jacob Peterson,20222023,"DAL,SJS",L,C,12,2,6,8,-12,4,0.67,0,6,2,2,0,0,0,0,21,9.5,17:26,50
Jack Drury,20222023,CAR,L,C,38,2,6,8,3,14,0.21,2,7,0,1,0,0,0,1,69,2.9,10:47,53.2
Kevin Bahl,20222023,NJD,L,D,42,2,6,8,4,35,0.19,2,8,0,0,0,0,0,0,27,7.4,14:01,--
